NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.55962081416293,1698.83403747961,0,,
1695.39684472051,1.56196023530186,1695.39684472051,0,,
1691.9596519614,1.56429183856243,1691.9596519614,0,,
1688.52245920229,1.56661566145405,1688.52245920229,0,,
1685.08526644319,1.56893174117547,1685.08526644319,0,,
1681.64807368408,1.5712401146193,1681.64807368408,0,,
1678.21088092498,1.57354081837639,1678.21088092498,0,,
1674.77368816587,1.57583388874034,1674.77368816587,0,,
1671.33649540676,1.57811936171153,1671.33649540676,0,,
1667.89930264766,1.58039727300172,1667.89930264766,0,,
1664.46210988855,1.5826676580378,1664.46210988855,0,,
1661.02491712944,1.58493055196635,1661.02491712944,0,,
1657.58772437034,1.58718598965737,1657.58772437034,0,,
1654.15053161123,1.58943400570845,1654.15053161123,0,,
1650.71333885212,1.59167463444865,1650.71333885212,0,,
1647.27614609302,1.5939079099425,1647.27614609302,0,,
1643.83895333391,1.59613386599364,1643.83895333391,0,,
1640.4017605748,1.59835253614891,1640.4017605748,0,,
1636.9645678157,1.60056395370183,1636.9645678157,0,,
1633.52737505659,1.60276815169644,1633.52737505659,0,,
1630.09018229748,1.60496516293093,1630.09018229748,0,,
1626.65298953838,1.60715501996118,1626.65298953838,0,,
1623.21579677927,1.60933775510441,1623.21579677927,0,,
1619.77860402017,1.61151340044259,1619.77860402017,0,,
1616.34141126106,1.61368198782602,1616.34141126106,0,,
1612.90421850195,1.61584354887672,1612.90421850195,0,,
1609.46702574284,1.6179981149917,1609.46702574284,0,,
1606.02983298374,1.62014571734651,1606.02983298374,0,,
1602.59264022463,1.6222863868984,1602.59264022463,0,,
1599.15544746553,1.62442015438963,1599.15544746553,0,,
1595.71825470642,1.62654705035073,1595.71825470642,0,,
1592.28106194731,1.62866710510364,1592.28106194731,0,,
1588.84386918821,1.63078034876489,1588.84386918821,0,,
1585.4066764291,1.63288681124875,1585.4066764291,0,,
1581.96948366999,1.63498652227033,1581.96948366999,0,,
1578.53229091089,1.63707951134854,1578.53229091089,0,,
1575.09509815178,1.63916580780928,1575.09509815178,0,,
1571.65790539267,1.64124544078825,1571.65790539267,0,,
1568.22071263357,1.64331843923406,1568.22071263357,0,,
1564.78351987446,1.64538483191112,1564.78351987446,0,,
1561.34632711535,1.64744464740244,1561.34632711535,0,,
1557.90913435625,1.64949791411275,1557.90913435625,0,,
1554.47194159714,1.65154466027109,1554.47194159714,0,,
1551.03474883804,1.65358491393381,1551.03474883804,0,,
1547.59755607893,1.65561870298727,1547.59755607893,0,,
1544.16036331982,1.65764605515067,1544.16036331982,0,,
1540.72317056072,1.65966699797878,1540.72317056072,0,,
1537.28597780161,1.6616815588647,1537.28597780161,0,,
1533.8487850425,1.66368976504242,1533.8487850425,0,,
1530.4115922834,1.66569164358975,1530.4115922834,0,,
1526.97439952429,1.66768722143074,1526.97439952429,0,,
1523.53720676518,1.6696765253385,1523.53720676518,0,,
1520.10001400608,1.67165958193767,1520.10001400608,0,,
1516.66282124697,1.67363641770715,1516.66282124697,0,,
1513.22562848786,1.67560705898255,1513.22562848786,0,,
1509.78843572876,1.67757153195892,1509.78843572876,0,,
1506.35124296965,1.67952986269314,1506.35124296965,0,,
1502.91405021054,1.68148207710655,1502.91405021054,0,,
1499.47685745144,1.6834282009874,1499.47685745144,0,,
1496.03966469233,1.68536825999337,1496.03966469233,0,,
1492.60247193323,1.68730227965415,1492.60247193323,0,,
1489.16527917412,1.68923028537373,1489.16527917412,0,,
1485.72808641501,1.69115230243298,1485.72808641501,0,,
1482.29089365591,1.69306835599207,1482.29089365591,0,,
1478.8537008968,1.69497847109296,1478.8537008968,0,,
1475.41650813769,1.69688267266166,1475.41650813769,0,,
1471.97931537859,1.69878098551087,1471.97931537859,0,,
1468.54212261948,1.70067343434211,1468.54212261948,0,,
1465.10492986037,1.70256004374842,1465.10492986037,0,,
1461.66773710127,1.70444083821645,1461.66773710127,0,,
1458.23054434216,1.70631584212907,1458.23054434216,0,,
1454.79335158305,1.70818507976759,1454.79335158305,0,,
1451.35615882395,1.71004857531414,1451.35615882395,0,,
1447.91896606484,1.71190635285413,1447.91896606484,0,,
1444.48177330573,1.71375843637847,1444.48177330573,0,,
1441.04458054663,1.71560484978596,1441.04458054663,0,,
1437.60738778752,1.71744561688566,1437.60738778752,0,,
1434.17019502842,1.71928076139921,1434.17019502842,0,,
1430.73300226931,1.72111030696315,1430.73300226931,0,,
1427.2958095102,1.72293427713124,1427.2958095102,0,,
1423.8586167511,1.72475269537685,1423.8586167511,0,,
1420.42142399199,1.72656558509517,1420.42142399199,0,,
1416.98423123288,1.7283729696057,1416.98423123288,0,,
1413.54703847378,1.73017487215443,1413.54703847378,0,,
1410.10984571467,1.73197131591626,1410.10984571467,0,,
1406.67265295556,1.73376232399727,1406.67265295556,0,,
1403.23546019646,1.73554791943714,1403.23546019646,0,,
