NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.60246212595312,1698.83403747961,0,,
1695.39684472051,1.60454238528243,1695.39684472051,0,,
1691.9596519614,1.60661613069615,1691.9596519614,0,,
1688.52245920229,1.60868338983906,1688.52245920229,0,,
1685.08526644319,1.61074419016132,1685.08526644319,0,,
1681.64807368408,1.61279855892148,1681.64807368408,0,,
1678.21088092498,1.61484652318915,1678.21088092498,0,,
1674.77368816587,1.61688810984742,1674.77368816587,0,,
1671.33649540676,1.6189233455956,1671.33649540676,0,,
1667.89930264766,1.62095225695173,1667.89930264766,0,,
1664.46210988855,1.62297487025505,1664.46210988855,0,,
1661.02491712944,1.62499121166872,1661.02491712944,0,,
1657.58772437034,1.62700130718204,1657.58772437034,0,,
1654.15053161123,1.62900518261303,1654.15053161123,0,,
1650.71333885212,1.63100286361096,1650.71333885212,0,,
1647.27614609302,1.63299437565836,1647.27614609302,0,,
1643.83895333391,1.63497974407395,1643.83895333391,0,,
1640.4017605748,1.63695899401448,1640.4017605748,0,,
1636.9645678157,1.63893215047748,1636.9645678157,0,,
1633.52737505659,1.64089923830323,1633.52737505659,0,,
1630.09018229748,1.64286028217714,1630.09018229748,0,,
1626.65298953838,1.64481530663209,1626.65298953838,0,,
1623.21579677927,1.64676433605066,1623.21579677927,0,,
1619.77860402017,1.64870739466728,1619.77860402017,0,,
1616.34141126106,1.6506445065703,1616.34141126106,0,,
1612.90421850195,1.65257569570453,1612.90421850195,0,,
1609.46702574284,1.65450098587295,1609.46702574284,0,,
1606.02983298374,1.65642040073921,1606.02983298374,0,,
1602.59264022463,1.65833396382962,1602.59264022463,0,,
1599.15544746553,1.66024169853509,1599.15544746553,0,,
1595.71825470642,1.66214362811346,1595.71825470642,0,,
1592.28106194731,1.66403977569154,1592.28106194731,0,,
1588.84386918821,1.66593016426693,1588.84386918821,0,,
1585.4066764291,1.66781481671025,1585.4066764291,0,,
1581.96948366999,1.66969375576714,1581.96948366999,0,,
1578.53229091089,1.67156700406035,1578.53229091089,0,,
1575.09509815178,1.67343458409129,1575.09509815178,0,,
1571.65790539267,1.67529651824275,1571.65790539267,0,,
1568.22071263357,1.67715282878009,1568.22071263357,0,,
1564.78351987446,1.67900353785372,1564.78351987446,0,,
1561.34632711535,1.68084866750089,1561.34632711535,0,,
1557.90913435625,1.68268823964749,1557.90913435625,0,,
1554.47194159714,1.68452227610999,1554.47194159714,0,,
1551.03474883804,1.68635079859765,1551.03474883804,0,,
1547.59755607893,1.68817382871392,1547.59755607893,0,,
1544.16036331982,1.68999138795866,1544.16036331982,0,,
1540.72317056072,1.69180349772996,1540.72317056072,0,,
1537.28597780161,1.69361017932591,1537.28597780161,0,,
1533.8487850425,1.69541145394649,1533.8487850425,0,,
1530.4115922834,1.69720734269551,1530.4115922834,0,,
1526.97439952429,1.69899786658217,1526.97439952429,0,,
1523.53720676518,1.70078304652327,1523.53720676518,0,,
1520.10001400608,1.70256290334479,1520.10001400608,0,,
1516.66282124697,1.70433745778367,1516.66282124697,0,,
1513.22562848786,1.70610673048978,1513.22562848786,0,,
1509.78843572876,1.70787074202766,1509.78843572876,0,,
1506.35124296965,1.70962951287821,1506.35124296965,0,,
1502.91405021054,1.71138306344066,1502.91405021054,0,,
1499.47685745144,1.71313141403412,1499.47685745144,0,,
1496.03966469233,1.71487458489978,1496.03966469233,0,,
1492.60247193323,1.71661259620207,1492.60247193323,0,,
1489.16527917412,1.71834546803106,1489.16527917412,0,,
1485.72808641501,1.72007322040386,1485.72808641501,0,,
1482.29089365591,1.72179587326649,1482.29089365591,0,,
1478.8537008968,1.7235134464956,1478.8537008968,0,,
1475.41650813769,1.72522595990029,1475.41650813769,0,,
1471.97931537859,1.72693343322394,1471.97931537859,0,,
1468.54212261948,1.72863588614585,1468.54212261948,0,,
1465.10492986037,1.73033333828305,1465.10492986037,0,,
1461.66773710127,1.73202580919211,1461.66773710127,0,,
1458.23054434216,1.73371331837083,1458.23054434216,0,,
1454.79335158305,1.73539588526005,1454.79335158305,0,,
1451.35615882395,1.7370735292455,1451.35615882395,0,,
1447.91896606484,1.73874626965926,1447.91896606484,0,,
1444.48177330573,1.74041412578201,1444.48177330573,0,,
1441.04458054663,1.74207711684442,1441.04458054663,0,,
1437.60738778752,1.74373526202906,1437.60738778752,0,,
1434.17019502842,1.74538858047228,1434.17019502842,0,,
1430.73300226931,1.74703709126587,1430.73300226931,0,,
1427.2958095102,1.74868081345878,1427.2958095102,0,,
1423.8586167511,1.75031976605914,1423.8586167511,0,,
1420.42142399199,1.751953968036,1420.42142399199,0,,
1416.98423123288,1.75358343832093,1416.98423123288,0,,
1413.54703847378,1.7552081958101,1413.54703847378,0,,
1410.10984571467,1.75682825936604,1410.10984571467,0,,
1406.67265295556,1.75844364781942,1406.67265295556,0,,
1403.23546019646,1.76005437997079,1403.23546019646,0,,
1399.79826743735,1.76166047459274,1399.79826743735,0,,
1396.36107467824,1.76326195043138,1396.36107467824,0,,
1392.92388191914,1.76485882620865,1392.92388191914,0,,
1389.48668916003,1.76645112062372,1389.48668916003,0,,
1386.04949640092,1.76803885235524,1386.04949640092,0,,
1382.61230364182,1.76962204006303,1382.61230364182,0,,
1379.17511088271,1.77120070239024,1379.17511088271,0,,
1375.73791812361,1.77277485796498,1375.73791812361,0,,
1372.3007253645,1.77434452540244,1372.3007253645,0,,
1368.86353260539,1.77590972330689,1368.86353260539,0,,
1365.42633984629,1.7774704702735,1365.42633984629,0,,
1361.98914708718,1.77902678489048,1361.98914708718,0,,
1358.55195432807,1.78057868574093,1358.55195432807,0,,
1355.11476156897,1.78212619140494,1355.11476156897,0,,
1351.67756880986,1.78366932046174,1351.67756880986,0,,
1348.24037605075,1.78520809149163,1348.24037605075,0,,
1344.80318329165,1.78674252307787,1344.80318329165,0,,
1341.36599053254,1.78827263380924,1341.36599053254,0,,
1337.92879777343,1.78979844228173,1337.92879777343,0,,
1334.49160501433,1.79131996710092,1334.49160501433,0,,
1331.05441225522,1.79283722688395,1331.05441225522,0,,
1327.61721949611,1.79435024026191,1327.61721949611,0,,
1324.18002673701,1.79585902588193,1324.18002673701,0,,
1320.7428339779,1.79736360240935,1320.7428339779,0,,
1317.3056412188,1.79886398852998,1317.3056412188,0,,
1313.86844845969,1.80036020295265,1313.86844845969,0,,
1310.43125570058,1.80185226441112,1310.43125570058,0,,
1306.99406294148,1.80334019166659,1306.99406294148,0,,
1303.55687018237,1.80482400351017,1303.55687018237,0,,
1300.11967742326,1.80630371876503,1300.11967742326,0,,
1296.68248466416,1.80777935628913,1296.68248466416,0,,
1293.24529190505,1.80925093497725,1293.24529190505,0,,
1289.80809914594,1.81071847376389,1289.80809914594,0,,
1286.37090638684,1.81218199162561,1286.37090638684,0,,
1282.93371362773,1.81364150758344,1282.93371362773,0,,
1279.49652086862,1.81509704070575,1279.49652086862,0,,
1276.05932810952,1.81654861011063,1276.05932810952,0,,
1272.62213535041,1.81799623496872,1272.62213535041,0,,
1269.1849425913,1.81943993450586,1269.1849425913,0,,
1265.7477498322,1.82087972800557,1265.7477498322,0,,
1262.31055707309,1.82231563481238,1262.31055707309,0,,
1258.87336431398,1.82374767433403,1258.87336431398,0,,
1255.43617155488,1.82517586604488,1255.43617155488,0,,
1251.99897879577,1.82660022948844,1251.99897879577,0,,
1248.56178603667,1.82802078428042,1248.56178603667,0,,
1245.12459327756,1.8294375501118,1245.12459327756,0,,
1241.68740051845,1.83085054675192,1241.68740051845,0,,
1238.25020775934,1.83225979405138,1238.25020775934,0,,
1234.81301500024,1.83366531194536,1234.81301500024,0,,
1231.37582224113,1.83506712045678,1231.37582224113,0,,
1227.93862948203,1.83646523969954,1227.93862948203,0,,
1224.50143672292,1.83785968988178,1224.50143672292,0,,
1221.06424396381,1.83925049130945,1221.06424396381,0,,
1217.62705120471,1.84063766438951,1217.62705120471,0,,
1214.1898584456,1.84202122963356,1214.1898584456,0,,
1210.7526656865,1.8434012076613,1210.7526656865,0,,
1207.31547292739,1.84477761920428,1207.31547292739,0,,
1203.87828016829,1.84615048510942,1203.87828016829,0,,
1200.44108740917,1.84751982634287,1200.44108740917,0,,
1197.00389465007,1.84888566399386,1197.00389465007,0,,
1193.56670189096,1.85024801927854,1193.56670189096,0,,
1190.12950913185,1.85160691354387,1190.12950913185,0,,
1186.69231637274,1.85296236827186,1186.69231637274,0,,
1183.25512361365,1.8543144050836,1183.25512361365,0,,
1179.81793085453,1.85566304574334,1179.81793085453,0,,
1176.38073809543,1.857008312163,1176.38073809543,0,,
1172.94354533633,1.85835022640639,1172.94354533633,0,,
1169.50635257721,1.85968881069376,1169.50635257721,0,,
1166.06915981811,1.86102408740629,1166.06915981811,0,,
1162.631967059,1.86235607909072,1162.631967059,0,,
1159.1947742999,1.86368480846428,1159.1947742999,0,,
1155.75758154079,1.86501029841927,1155.75758154079,0,,
1152.32038878169,1.86633257202812,1152.32038878169,0,,
1148.88319602258,1.86765165254851,1148.88319602258,0,,
1145.44600326347,1.86896756342843,1145.44600326347,0,,
1142.00881050436,1.87028032831143,1142.00881050436,0,,
1138.57161774526,1.87158997104207,1138.57161774526,0,,
1135.13442498616,1.8728965156714,1135.13442498616,0,,
1131.69723222704,1.8741999864626,1131.69723222704,0,,
1128.26003946794,1.87550040789657,1128.26003946794,0,,
1124.82284670883,1.87679780467807,1124.82284670883,0,,
1121.38565394973,1.87809220174147,1121.38565394973,0,,
1117.94846119062,1.87938362425701,1117.94846119062,0,,
1114.51126843151,1.88067209763711,1114.51126843151,0,,
1111.07407567241,1.88195764754263,1111.07407567241,0,,
1107.6368829133,1.88324029988966,1107.6368829133,0,,
1104.19969015419,1.88452008085606,1104.19969015419,0,,
1100.76249739508,1.88579701688843,1100.76249739508,0,,
1097.32530463598,1.88707113470914,1097.32530463598,0,,
1093.88811187688,1.88834246132352,1093.88811187688,0,,
1090.45091911777,1.88961102402723,1090.45091911777,0,,
1087.01372635866,1.89087685041384,1087.01372635866,0,,
1083.57653359955,1.89213996838261,1083.57653359955,0,,
1080.13934084045,1.89340040614629,1080.13934084045,0,,
1076.70214808134,1.89465819223939,1076.70214808134,0,,
1073.26495532224,1.89591335552636,1073.26495532224,0,,
1069.82776256312,1.89716592521032,1069.82776256312,0,,
1066.39056980403,1.89841593084152,1066.39056980403,0,,
1062.95337704492,1.89966340232658,1062.95337704492,0,,
1059.51618428581,1.90090836993741,1059.51618428581,0,,
1056.07899152671,1.90215086432093,1056.07899152671,0,,
1052.6417987676,1.90339091650847,1052.6417987676,0,,
1049.20460600849,1.9046285579257,1049.20460600849,0,,
1045.76741324938,1.90586382040301,1045.76741324938,0,,
1042.33022049028,1.90709673618571,1042.33022049028,0,,
1038.89302773117,1.90832733794485,1038.89302773117,0,,
1035.45583497207,1.90955565878806,1035.45583497207,0,,
1032.01864221296,1.91078173227109,1032.01864221296,0,,
1028.58144945385,1.91200559240909,1028.58144945385,0,,
1025.14425669474,1.91322727368867,1025.14425669474,0,,
1021.70706393564,1.91444681108007,1021.70706393564,0,,
1018.26987117653,1.9156642400496,1018.26987117653,0,,
1014.83267841742,1.91687959657269,1014.83267841742,0,,
1011.39548565831,1.91809291714696,1011.39548565831,0,,
1007.95829289922,1.91930423880585,1007.95829289922,0,,
1004.5211001401,1.92051359913265,1004.5211001401,0,,
1001.083907381,1.92172103627485,1001.083907381,0,,
997.646714621893,1.92292658895873,997.646714621893,0,,
994.209521862783,1.92413029650489,994.209521862783,0,,
990.772329103681,1.92533219884341,990.772329103681,0,,
989.267676490204,1.92585778136521,989.267676490204,0,,
988.484573030973,1.92613119057744,988.484573030973,0,,
987.701469571744,1.92640450960787,987.701469571744,0,,
986.918366112506,1.92667773894586,986.918366112506,0,,
986.13526265328,1.92695087908246,986.13526265328,0,,
985.352159194047,1.92722393051065,985.352159194047,0,,
984.56905573482,1.92749689372509,984.56905573482,0,,
983.785952275586,1.92776976922228,983.785952275586,0,,
983.002848816354,1.92804255750058,983.002848816354,0,,
982.219745357125,1.92831525906007,982.219745357125,0,,
981.436641897897,1.92858787440281,981.436641897897,0,,
980.653538438667,1.92886040403256,980.653538438667,0,,
979.870434979433,1.92913284845501,979.870434979433,0,,
979.087331520206,1.92940520817769,979.087331520206,0,,
978.304228060974,1.92967748371009,978.304228060974,0,,
977.521124601747,1.92994967556348,977.521124601747,0,,
976.738021142518,1.93022178425115,976.738021142518,0,,
975.954917683283,1.9304938102882,975.954917683283,0,,
975.17181422405,1.93076575419162,975.17181422405,0,,
974.388710764821,1.93103761648053,974.388710764821,0,,
973.605607305592,1.93130939767583,973.605607305592,0,,
972.822503846362,1.93158109830045,972.822503846362,0,,
972.039400387127,1.93185271887921,972.039400387127,0,,
971.256296927898,1.93212425993911,971.256296927898,0,,
970.473193468672,1.93239572200888,970.473193468672,0,,
969.690090009438,1.93266710561951,969.690090009438,0,,
