NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.66199645270375,1698.83403747961,0,,
1695.39684472051,1.66373199086887,1695.39684472051,0,,
1691.9596519614,1.66546258246932,1691.9596519614,0,,
1688.52245920229,1.66718824527897,1688.52245920229,0,,
1685.08526644319,1.66890899697897,1685.08526644319,0,,
1681.64807368408,1.67062485516013,1681.64807368408,0,,
1678.21088092498,1.67233583732368,1678.21088092498,0,,
1674.77368816587,1.6740419608828,1674.77368816587,0,,
1671.33649540676,1.6757432431638,1671.33649540676,0,,
1667.89930264766,1.67743970140751,1667.89930264766,0,,
1664.46210988855,1.6791313527703,1664.46210988855,0,,
1661.02491712944,1.68081821432575,1661.02491712944,0,,
1657.58772437034,1.68250030306579,1657.58772437034,0,,
1654.15053161123,1.68417763590154,1654.15053161123,0,,
1650.71333885212,1.68585022966531,1650.71333885212,0,,
1647.27614609302,1.68751810111094,1647.27614609302,0,,
1643.83895333391,1.68918126691594,1643.83895333391,0,,
1640.4017605748,1.69083974368207,1640.4017605748,0,,
1636.9645678157,1.69249354793705,1636.9645678157,0,,
1633.52737505659,1.69414269613535,1633.52737505659,0,,
1630.09018229748,1.69578720465947,1630.09018229748,0,,
1626.65298953838,1.69742708982128,1626.65298953838,0,,
1623.21579677927,1.69906236786348,1623.21579677927,0,,
1619.77860402017,1.70069305496048,1619.77860402017,0,,
1616.34141126106,1.70231916721908,1616.34141126106,0,,
1612.90421850195,1.70394072068096,1612.90421850195,0,,
1609.46702574284,1.70555773132242,1609.46702574284,0,,
1606.02983298374,1.70717021505675,1606.02983298374,0,,
1602.59264022463,1.70877818773484,1602.59264022463,0,,
1599.15544746553,1.71038166514605,1599.15544746553,0,,
1595.71825470642,1.71198066302012,1595.71825470642,0,,
1592.28106194731,1.71357519702811,1592.28106194731,0,,
1588.84386918821,1.71516528278283,1588.84386918821,0,,
1585.4066764291,1.71675093584107,1585.4066764291,0,,
1581.96948366999,1.7183321717041,1581.96948366999,0,,
1578.53229091089,1.71990900581938,1578.53229091089,0,,
1575.09509815178,1.72148145358048,1575.09509815178,0,,
1571.65790539267,1.72304953033031,1571.65790539267,0,,
1568.22071263357,1.72461325135998,1568.22071263357,0,,
