NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.49638391234871,1698.83403747961,0.366146980699692,,
1695.39684472051,1.497798044081,1695.39684472051,0.364012625987614,,
1691.9596519614,1.49921613080222,1691.9596519614,0.36188582279161,,
1688.52245920229,1.50063812461554,1688.52245920229,0.359766585617995,,
1685.08526644319,1.50206397768264,1685.08526644319,0.357654928498873,,
1681.64807368408,1.50349364223199,1681.64807368408,0.355550864994756,,
1678.21088092498,1.50492707056493,1678.21088092498,0.353454408197782,,
1674.77368816587,1.50636421506054,1674.77368816587,0.351365570735257,,
1671.33649540676,1.50780502818258,1671.33649540676,0.349284364772789,,
1667.89930264766,1.50924946248511,1667.89930264766,0.34721080201775,,
1664.46210988855,1.51069747061802,1664.46210988855,0.345144893722826,,
1661.02491712944,1.51214900533295,1661.02491712944,0.343086650689524,,
1657.58772437034,1.51360401948952,1657.58772437034,0.341036083271643,,
1654.15053161123,1.51506246605909,1654.15053161123,0.338993201379351,,
1650.71333885212,1.51652429813245,1650.71333885212,0.336958014482414,,
1647.27614609302,1.51798946892277,1647.27614609302,0.334930531614522,,
1643.83895333391,1.5194579317732,1643.83895333391,0.332910761376617,,
1640.4017605748,1.52092964016022,1640.4017605748,0.330898711941189,,
1636.9645678157,1.5224045476996,1636.9645678157,0.328894391056029,,
1633.52737505659,1.52388260815154,1633.52737505659,0.326897806048198,,
1630.09018229748,1.52536377542444,1630.09018229748,0.324908963828303,,
1626.65298953838,1.5268480035804,1626.65298953838,0.32292787089442,,
1623.21579677927,1.5283352468409,1623.21579677927,0.320954533336034,,
1619.77860402017,1.52982545958945,1619.77860402017,0.318988956838602,,
1616.34141126106,1.5313185963775,1616.34141126106,0.317031146687462,,
1612.90421850195,1.53281461192886,1612.90421850195,0.315081107772076,,
1609.46702574284,1.53431346114265,1609.46702574284,0.313138844590585,,
1606.02983298374,1.53581509909941,1606.02983298374,0.311204361253713,,
1602.59264022463,1.53731948106454,1602.59264022463,0.309277661489253,,
1599.15544746553,1.53882656249156,1599.15544746553,0.307358748646574,,
1595.71825470642,1.54033629902745,1595.71825470642,0.305447625700725,,
1592.28106194731,1.54184864651588,1592.28106194731,0.30354429525697,,
1588.84386918821,1.54336356100073,1588.84386918821,0.301648759555262,,
1585.4066764291,1.5448809987305,1585.4066764291,0.299761020474538,,
1581.96948366999,1.54640091616151,1581.96948366999,0.297881079537267,,
1578.53229091089,1.54792326996249,1578.53229091089,0.296008937913707,,
1575.09509815178,1.54944801701566,1575.09509815178,0.294144596426864,,
1571.65790539267,1.55097511442333,1571.65790539267,0.292288055556346,,
1568.22071263357,1.55250451950823,1568.22071263357,0.290439315443455,,
1564.78351987446,1.55403618981962,1564.78351987446,0.288598375895129,,
1561.34632711535,1.55557008313406,1561.34632711535,0.286765236388929,,
1557.90913435625,1.55710615745961,1557.90913435625,0.284939896077335,,
1554.47194159714,1.5586443710391,1554.47194159714,0.283122353792221,,
1551.03474883804,1.56018468235254,1551.03474883804,0.281312608049473,,
1547.59755607893,1.56172705012018,1547.59755607893,0.279510657053492,,
1544.16036331982,1.56327143330517,1544.16036331982,0.277716498701715,,
1540.72317056072,1.56481779111715,1540.72317056072,0.275930130589005,,
1537.28597780161,1.56636608301356,1537.28597780161,0.274151550012383,,
1533.8487850425,1.56791626870336,1533.8487850425,0.272380753975359,,
1530.4115922834,1.56946830814921,1530.4115922834,0.270617739192479,,
1526.97439952429,1.57102216156915,1526.97439952429,0.268862502093964,,
