NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.61377089176788,1698.83403747961,0,,
1695.39684472051,1.61578035087445,1695.39684472051,0,,
1691.9596519614,1.61778364256019,1691.9596519614,0,,
1688.52245920229,1.61978079220077,1688.52245920229,0,,
1685.08526644319,1.6217718250035,1685.08526644319,0,,
1681.64807368408,1.62375676600955,1681.64807368408,0,,
1678.21088092498,1.62573564009627,1678.21088092498,0,,
1674.77368816587,1.62770847197957,1674.77368816587,0,,
1671.33649540676,1.62967528621601,1671.33649540676,0,,
1667.89930264766,1.63163610720524,1667.89930264766,0,,
1664.46210988855,1.63359095919191,1664.46210988855,0,,
1661.02491712944,1.63553986626826,1661.02491712944,0,,
1657.58772437034,1.6374828523759,1657.58772437034,0,,
1654.15053161123,1.63941994130819,1654.15053161123,0,,
1650.71333885212,1.64135115671228,1650.71333885212,0,,
1647.27614609302,1.64327652209123,1647.27614609302,0,,
1643.83895333391,1.64519606080605,1643.83895333391,0,,
1640.4017605748,1.64710979607786,1640.4017605748,0,,
1636.9645678157,1.64901775098986,1636.9645678157,0,,
1633.52737505659,1.65091994848934,1633.52737505659,0,,
1630.09018229748,1.65281641138976,1630.09018229748,0,,
1626.65298953838,1.65470716237266,1626.65298953838,0,,
1623.21579677927,1.65659222398977,1623.21579677927,0,,
1619.77860402017,1.65847161866476,1619.77860402017,0,,
1616.34141126106,1.66034536869534,1616.34141126106,0,,
1612.90421850195,1.66221349625523,1612.90421850195,0,,
1609.46702574284,1.66407602339584,1609.46702574284,0,,
1606.02983298374,1.66593297204842,1606.02983298374,0,,
1602.59264022463,1.6677843640258,1602.59264022463,0,,
1599.15544746553,1.6696302210243,1599.15544746553,0,,
1595.71825470642,1.67147056462557,1595.71825470642,0,,
1592.28106194731,1.67330541629846,1592.28106194731,0,,
1588.84386918821,1.67513479740084,1588.84386918821,0,,
1585.4066764291,1.67695872918138,1585.4066764291,0,,
1581.96948366999,1.67877723278143,1581.96948366999,0,,
1578.53229091089,1.68059032923674,1578.53229091089,0,,
1575.09509815178,1.68239803947933,1575.09509815178,0,,
1571.65790539267,1.68420038433914,1571.65790539267,0,,
1568.22071263357,1.68599738454593,1568.22071263357,0,,
1564.78351987446,1.68778906073096,1564.78351987446,0,,
1561.34632711535,1.68957543342873,1561.34632711535,0,,
1557.90913435625,1.69135652307875,1557.90913435625,0,,
1554.47194159714,1.69313235002728,1554.47194159714,0,,
1551.03474883804,1.69490293452901,1551.03474883804,0,,
1547.59755607893,1.69666829674873,1547.59755607893,0,,
1544.16036331982,1.6984284567632,1544.16036331982,0,,
1540.72317056072,1.70018343456266,1540.72317056072,0,,
1537.28597780161,1.70193325005268,1537.28597780161,0,,
1533.8487850425,1.7036779230557,1533.8487850425,0,,
1530.4115922834,1.70541747331284,1530.4115922834,0,,
1526.97439952429,1.70715192048552,1526.97439952429,0,,
1523.53720676518,1.70888128415711,1523.53720676518,0,,
1520.10001400608,1.71060558383462,1520.10001400608,0,,
1516.66282124697,1.71232483895038,1516.66282124697,0,,
1513.22562848786,1.71403906886368,1513.22562848786,0,,
1509.78843572876,1.71574829286246,1509.78843572876,0,,
1506.35124296965,1.71745253016485,1506.35124296965,0,,
1502.91405021054,1.71915179992101,1502.91405021054,0,,
1499.47685745144,1.72084612121459,1499.47685745144,0,,
1496.03966469233,1.72253551306447,1496.03966469233,0,,
