NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1599.15544746553,1.28714476194852,1599.15544746553,0.1249689362514,,
1595.71825470642,1.28807298065366,1595.71825470642,0.124306147093348,,
1592.28106194731,1.2890006936795,1592.28106194731,0.12364664626183,,
1588.84386918821,1.28992789434041,1588.84386918821,0.122990428744017,,
1585.4066764291,1.29085457603573,1585.4066764291,0.122337489537087,,
1581.96948366999,1.29178073224998,1581.96948366999,0.121687823648866,,
1578.53229091089,1.29270635655297,1578.53229091089,0.121041426098477,,
1575.09509815178,1.29363144259999,1575.09509815178,0.120398291916988,,
1571.65790539267,1.29455598413198,1571.65790539267,0.119758416148059,,
1568.22071263357,1.29547997497571,1568.22071263357,0.119121793848589,,
1564.78351987446,1.296403409044,1564.78351987446,0.118488420089366,,
1561.34632711535,1.29732628033587,1561.34632711535,0.117858289955719,,
1557.90913435625,1.29824858293678,1557.90913435625,0.117231398548168,,
1554.47194159714,1.29917031101886,1554.47194159714,0.116607740983077,,
1551.03474883804,1.3000914588411,1551.03474883804,0.115987312393311,,
1547.59755607893,1.3010120207496,1547.59755607893,0.115370107928892,,
1544.16036331982,1.30193199117782,1544.16036331982,0.114756122757659,,
1540.72317056072,1.30285136464683,1540.72317056072,0.114145352065926,,
1537.28597780161,1.30377013576559,1537.28597780161,0.113537791059149,,
1533.8487850425,1.30468829923117,1533.8487850425,0.112933434962593,,
1530.4115922834,1.3056058498291,1530.4115922834,0.112332279021997,,
1526.97439952429,1.30652278243363,1526.97439952429,0.111734318504251,,
1523.53720676518,1.30743909200803,1523.53720676518,0.111139548698067,,
1520.10001400608,1.30835477360491,1520.10001400608,0.110547964914663,,
1516.66282124697,1.30926982236657,1516.66282124697,0.109959562488444,,
1513.22562848786,1.31018423352529,1513.22562848786,0.109374336777684,,
1509.78843572876,1.31109800240375,1509.78843572876,0.108792283165224,,
1506.35124296965,1.31201112441531,1506.35124296965,0.108213397059162,,
1502.91405021054,1.31292359506444,1502.91405021054,0.107637673893557,,
1499.47685745144,1.31383540994711,1499.47685745144,0.10706510912913,,
1496.03966469233,1.31474656475113,1496.03966469233,0.106495698253974,,
1492.60247193323,1.31565705525664,1492.60247193323,0.105929436784272,,
1489.16527917412,1.31656687733648,1489.16527917412,0.105366320265015,,
1485.72808641501,1.31747602695665,1485.72808641501,0.10480634427073,,
1482.29089365591,1.31838450017673,1482.29089365591,0.10424950440621,,
1478.8537008968,1.31929229315043,1478.8537008968,0.103695796307258,,
1475.41650813769,1.32019940212597,1475.41650813769,0.103145215641428,,
1471.97931537859,1.32110582344663,1471.97931537859,0.102597758108778,,
1468.54212261948,1.32201155355128,1468.54212261948,0.102053419442634,,
1465.10492986037,1.32291658897483,1465.10492986037,0.101512195410351,,
1461.66773710127,1.32382092634887,1461.66773710127,0.100974081814094,,
1458.23054434216,1.32472456240214,1458.23054434216,0.100439074491619,,
1454.79335158305,1.32562749396117,1454.79335158305,0.0999071693170616,,
