NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1599.15544746553,1.18852639995314,1599.15544746553,0.160032888785901,,
1595.71825470642,1.18937291210797,1595.71825470642,0.159199608443342,,
1592.28106194731,1.19021988906285,1592.28106194731,0.158369934313549,,
1588.84386918821,1.19106731884402,1588.84386918821,0.157543865968464,,
1585.4066764291,1.19191518955341,1585.4066764291,0.156721402941767,,
1581.96948366999,1.19276348936921,1581.96948366999,0.15590254472989,,
1578.53229091089,1.19361220654632,1578.53229091089,0.155087290793027,,
1575.09509815178,1.19446132941686,1575.09509815178,0.154275640556154,,
1571.65790539267,1.19531084639072,1571.65790539267,0.15346759341005,,
1568.22071263357,1.19616074595602,1568.22071263357,0.152663148712318,,
1564.78351987446,1.19701101667964,1564.78351987446,0.151862305788409,,
1561.34632711535,1.1978616472077,1561.34632711535,0.151065063932654,,
1557.90913435625,1.1987126262661,1557.90913435625,0.150271422409291,,
1554.47194159714,1.19956394266097,1554.47194159714,0.149481380453501,,
1551.03474883804,1.20041558527925,1551.03474883804,0.148694937272444,,
1547.59755607893,1.20126754308912,1547.59755607893,0.147912092046299,,
1544.16036331982,1.20211980514056,1544.16036331982,0.147132843929312,,
1540.72317056072,1.20297236056583,1540.72317056072,0.146357192050835,,
1537.28597780161,1.20382519858,1537.28597780161,0.145585135516383,,
1533.8487850425,1.20467830848142,1533.8487850425,0.144816673408686,,
1530.4115922834,1.2055316796523,1530.4115922834,0.144051804788748,,
1526.97439952429,1.20638530155919,1526.97439952429,0.143290528696908,,
1523.53720676518,1.20723916375346,1523.53720676518,0.14253284415391,,
1520.10001400608,1.2080932558719,1520.10001400608,0.141778750161969,,
1516.66282124697,1.20894756763719,1516.66282124697,0.141028245705849,,
1513.22562848786,1.20980208885844,1513.22562848786,0.140281329753943,,
1509.78843572876,1.21065680943173,1509.78843572876,0.139538001259359,,
1506.35124296965,1.21151171934065,1506.35124296965,0.138798259161005,,
1502.91405021054,1.21236680865682,1502.91405021054,0.138062102384693,,
1499.47685745144,1.21322206754044,1499.47685745144,0.13732952984423,,
1496.03966469233,1.21407748624086,1496.03966469233,0.136600540442531,,
1492.60247193323,1.2149330550971,1492.60247193323,0.135875133072731,,
1489.16527917412,1.21578876453846,1489.16527917412,0.135153306619297,,
1485.72808641501,1.21664460508504,1485.72808641501,0.134435059959162,,
1482.29089365591,1.21750056734831,1482.29089365591,0.133720391962851,,
1478.8537008968,1.21835664203173,1478.8537008968,0.133009301495618,,
1475.41650813769,1.2192128199313,1475.41650813769,0.132301787418594,,
1471.97931537859,1.22006909193617,1471.97931537859,0.131597848589941,,
1468.54212261948,1.22092544902922,1468.54212261948,0.130897483866007,,
1465.10492986037,1.22178188228769,1465.10492986037,0.1302006921025,,
1461.66773710127,1.22263838288377,1461.66773710127,0.12950747215566,,
1458.23054434216,1.22349494208525,1458.23054434216,0.128817822883448,,
1454.79335158305,1.22435155125613,1454.79335158305,0.128131743146734,,
1451.35615882395,1.22520820185726,1451.35615882395,0.127449231810507,,
1447.91896606484,1.226064885447,1447.91896606484,0.126770287745082,,
1444.48177330573,1.22692159368189,1444.48177330573,0.126094909827321,,
1441.04458054663,1.22777831831729,1441.04458054663,0.125423096941872,,
1437.60738778752,1.22863505120808,1437.60738778752,0.124754847982406,,
1434.17019502842,1.22949178430935,1434.17019502842,0.124090161852871,,
1430.73300226931,1.23034850967709,1430.73300226931,0.123429037468759,,
1427.2958095102,1.23120521946892,1427.2958095102,0.122771473758381,,
1423.8586167511,1.23206190594479,1423.8586167511,0.122117469664157,,
1420.42142399199,1.23291856146775,1420.42142399199,0.121467024143912,,
1416.98423123288,1.23377517850467,1416.98423123288,0.120820136172199,,
1413.54703847378,1.23463174962701,1413.54703847378,0.120176804741613,,
1410.10984571467,1.23548826751161,1410.10984571467,0.119537028864146,,
1406.67265295556,1.23634472494146,1406.67265295556,0.118900807572531,,
1403.23546019646,1.23720111480653,1403.23546019646,0.118268139921617,,
1399.79826743735,1.23805743010457,1399.79826743735,0.117639024989752,,
1396.36107467824,1.23891366394193,1396.36107467824,0.117013461880183,,
1392.92388191914,1.23976980953444,1392.92388191914,0.116391449722475,,
1389.48668916003,1.24062586020826,1389.48668916003,0.115772987673941,,
1386.04949640092,1.24148180940078,1386.04949640092,0.115158074921093,,
1382.61230364182,1.24233765066148,1382.61230364182,0.114546710681114,,
1379.17511088271,1.24319337765287,1379.17511088271,0.113938894203341,,
