sample no,apparatus,current,time,worked?,R1 (long),R2 (short),R/sq,thickness NSL,SR NSL,thickness VASE,SR VASE,R1,R2,R/sq,% Delta(R),thickness VASE,SR VASE,total thickness,Tc
000a,,,,,,,,127.96,,133,,,,,,,,,
000b,,,,,,,,149.71,,,,,,,,,,,
000c,upstairs/DAQ,300 uA,120,yes,,,,130.14,,,,,,,,,,,3
000d,,,,,,,,150.61,,,,,,,,,,,
000e,,,,,,,,127.86,,,,,,,,,,,
000f,,,,,,,,129.33,,,,,,,,,,,
000g,,,,,103.6,97.9,360.1482487,149.64,,141.5,12,103.7,100.2,,,,,,
000h,,,,,103.1,96.3,356.3948427,164.13,,140.8,19.7,105.1,105.1,,,,,,
000i,,,,,83.7,76.3,285.9737955,135.71,,139.2,8.2,85.6,83.2,,,,,,0
000j,,,,,103.9,102.8,369.4423971,134.8,,139,7.3,95,95.9,,,,,,
000k,,,,,,,,117.89,,,,,,,,,,,
000l,,,,,,,,122.55,,,,,,,,,,,
000m,,,,,,,,121.4,,,,,,,,,,,
000n,NSL+,,360,yes,65,67,235.9283813,123.63,,,,34,33,,,,,,3.3
000l,NSL+,,360,yes,60.4,56.4,208.7608707,131.36,,,,27.5,27.1,,,,,,
000p,upstairs/oscope,,360,yes,95.6,88.1,328.333664,132.11,,,,,,,,,,,
000q,upstairs/oscope,,360,yes,105.7,94.9,358.5396461,135.66,,,,,,,,,,,3.5
000r,upstairs/oscope,,,,109.9,102,378.7365454,131.93,,,,,,,,,,,
000s,upstairs/oscope,,360,yes,95,93.8,337.4490787,133.46,,,,,,,,,,,
000t,upstairs/DAQ,300 uA,60,yes,97,108,366.4039255,131.78,,,,,,,,,,,
000u,upstairs/DAQ,300 uA,200,yes,83.5,85.6,302.2385551,130.59,,,,,,,,,,,
000v,,,,,91,85,314.5711751,132.06,0.5,,,,,,,,,,
000w,upstairs/DAQ,300 uA,120,yes,71.3,67.7,248.4397348,130.22,,134,3,67,53,,,115,51,,3
001a,REF,,,,10.9,10.1,37.53406066,131,1,127,3.5,,,,,,,,
001bi,upstairs/DAQ,300 uA,120,yes,12.1,11.2,41.64493397,132,2,129.4,4.1,15.7,16.8,38.23952252,-8.17725262,135.5,50.2,185.7,
001ci,upstairs/DAQ,300 uA,180,yes,13.5,12.4,46.29200815,133,2,135.4,4.7,17.6,17.6,41.41634439,-10.53240928,146.3,53.3,199.6,
001d,upstairs/DAQ,300 uA,60,yes,14.5,13.4,49.86668059,133,2,136.2,4.5,17.9,19,43.41656556,-12.93471904,117.2,39,156.2,
001e,upstairs/DAQ,300 uA,90,yes,17.9,14.4,57.73095997,132,2,135.2,4.8,16.6,17.6,40.23974369,-30.2978095,125.839,44.039,169.878,
001f,upstairs/DAQ,300 uA,150,yes,13.7,12.6,47.00694264,134,0,134.2,5,16.1,17.2,39.18080307,-16.64890147,147,48.4,195.4,
001bii,upstairs/DAQ,300 uA,120,yes,,,,,,,,16.5,17.5,40.00442356,,133.621,45.741,179.362,2.5
001cii,upstairs/DAQ,300 uA,180,yes,,,,,,,,17.4,17.6,41.18102425,,148.848,61.115,209.963,
001dii,upstairs/DAQ,300 uA,60,yes,,,,,,,,30.6,28.7,43.84965524,,118.118,39.913,158.031,
001eii,upstairs/DAQ,300 uA,90,yes,,,,,,,,24.8,26.6,38.00796424,,125.112,50.994,176.106,1.75
001fii,upstairs/DAQ,300 uA,150,yes,,,,,,,,19,20.5,46.47572737,,136.298,55.42,191.718,
001g,,,,,,,,,,127.6,3.3,,,,,,,0,
001h,,150 uA,120,yes,11.5,10.6,39.5001305,,,127.8,3.2,,,,,,,0,
001i,,150 uA,60,,13.5,12.7,46.82820901,,,131.1,3.1,,,,,,,0,
001j,,100 uA,180,,16.2,15.2,56.12235737,,,132.2,2.9,,,,,,,0,
001k,,100 uA,60,,17.9,17,62.37803415,,,132.9,2.8,,,,,,,0,
001l,,50 uA,360,,16.2,15.2,56.12235737,,,131.2,3.1,,,,,,,0,
001m,,50 uA,60,,18.1,16.9,62.55676777,,,132.6,3,,,,,,,0,
