NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.62486562544997,1698.83403747961,0,,
1695.39684472051,1.62609331652369,1695.39684472051,0,,
1691.9596519614,1.62731814121611,1691.9596519614,0,,
1688.52245920229,1.62854010953797,1688.52245920229,0,,
1685.08526644319,1.62975923149357,1685.08526644319,0,,
1681.64807368408,1.63097551708146,1681.64807368408,0,,
1678.21088092498,1.63218897629517,1678.21088092498,0,,
1674.77368816587,1.63339961912393,1674.77368816587,0,,
1671.33649540676,1.63460745555338,1671.33649540676,0,,
1667.89930264766,1.63581249556634,1667.89930264766,0,,
1664.46210988855,1.63701474914347,1664.46210988855,0,,
1661.02491712944,1.6382142262641,1661.02491712944,0,,
1657.58772437034,1.6394109369069,1657.58772437034,0,,
1654.15053161123,1.64060489105067,1654.15053161123,0,,
1650.71333885212,1.64179609867509,1650.71333885212,0,,
1647.27614609302,1.64298456976145,1647.27614609302,0,,
1643.83895333391,1.64417031429346,1643.83895333391,0,,
1640.4017605748,1.64535334225801,1640.4017605748,0,,
1636.9645678157,1.64653366364591,1636.9645678157,0,,
1633.52737505659,1.64771128845273,1633.52737505659,0,,
1630.09018229748,1.64888622667956,1630.09018229748,0,,
1626.65298953838,1.65005848833382,1626.65298953838,0,,
1623.21579677927,1.65122808343003,1623.21579677927,0,,
1619.77860402017,1.65239502199068,1619.77860402017,0,,
1616.34141126106,1.65355931404702,1616.34141126106,0,,
1612.90421850195,1.65472096963986,1612.90421850195,0,,
1609.46702574284,1.65587999882045,1609.46702574284,0,,
1606.02983298374,1.6570364116513,1606.02983298374,0,,
1602.59264022463,1.65819021820703,1602.59264022463,0,,
1599.15544746553,1.65934142857522,1599.15544746553,0,,
1595.71825470642,1.6604900528573,1595.71825470642,0,,
1592.28106194731,1.66163610116941,1592.28106194731,0,,
1588.84386918821,1.66277958364328,1588.84386918821,0,,
1585.4066764291,1.66392051042714,1585.4066764291,0,,
1581.96948366999,1.66505889168662,1581.96948366999,0,,
1578.53229091089,1.66619473760564,1578.53229091089,0,,
1575.09509815178,1.66732805838736,1575.09509815178,0,,
1571.65790539267,1.66845886425513,1571.65790539267,0,,
1568.22071263357,1.66958716545337,1568.22071263357,0,,
1564.78351987446,1.67071297224858,1564.78351987446,0,,
1561.34632711535,1.67183629493029,1561.34632711535,0,,
1557.90913435625,1.67295714381205,1557.90913435625,0,,
