NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.65159622574711,1698.83403747961,0,,
1695.39684472051,1.65308843635384,1695.39684472051,0,,
1691.9596519614,1.65457682992714,1691.9596519614,0,,
1688.52245920229,1.65606142033087,1688.52245920229,0,,
1685.08526644319,1.657542221392,1685.08526644319,0,,
1681.64807368408,1.65901924690162,1681.64807368408,0,,
1678.21088092498,1.66049251061592,1678.21088092498,0,,
1674.77368816587,1.66196202625724,1674.77368816587,0,,
1671.33649540676,1.66342780751501,1671.33649540676,0,,
1667.89930264766,1.6648898680468,1667.89930264766,0,,
1664.46210988855,1.6663482214793,1664.46210988855,0,,
1661.02491712944,1.66780288140935,1661.02491712944,0,,
1657.58772437034,1.66925386140493,1657.58772437034,0,,
1654.15053161123,1.6707011750062,1654.15053161123,0,,
1650.71333885212,1.67214483572646,1650.71333885212,0,,
1647.27614609302,1.67358485705321,1647.27614609302,0,,
1643.83895333391,1.67502125244916,1643.83895333391,0,,
1640.4017605748,1.67645403535325,1640.4017605748,0,,
1636.9645678157,1.67788321918164,1636.9645678157,0,,
1633.52737505659,1.6793088173288,1633.52737505659,0,,
1630.09018229748,1.6807308431685,1630.09018229748,0,,
1626.65298953838,1.68214931005485,1626.65298953838,0,,
1623.21579677927,1.68356423132332,1623.21579677927,0,,
1619.77860402017,1.68497562029183,1619.77860402017,0,,
1616.34141126106,1.68638349026177,1616.34141126106,0,,
1612.90421850195,1.68778785451903,1612.90421850195,0,,
1609.46702574284,1.68918872633509,1609.46702574284,0,,
1606.02983298374,1.69058611896808,1606.02983298374,0,,
1602.59264022463,1.69198004566383,1602.59264022463,0,,
1599.15544746553,1.69337051965694,1599.15544746553,0,,
1595.71825470642,1.6947575541719,1595.71825470642,0,,
1592.28106194731,1.6961411624241,1592.28106194731,0,,
1588.84386918821,1.697521357621,1588.84386918821,0,,
1585.4066764291,1.69889815296319,1585.4066764291,0,,
1581.96948366999,1.7002715616455,1581.96948366999,0,,
1578.53229091089,1.70164159685811,1578.53229091089,0,,
1575.09509815178,1.70300827178767,1575.09509815178,0,,
1571.65790539267,1.70437159961844,1571.65790539267,0,,
1568.22071263357,1.70573159353342,1568.22071263357,0,,
1564.78351987446,1.70708826671549,1564.78351987446,0,,
1561.34632711535,1.70844163234856,1561.34632711535,0,,
1557.90913435625,1.70979170361875,1557.90913435625,0,,
1554.47194159714,1.71113849371555,1554.47194159714,0,,
1551.03474883804,1.71248201583301,1551.03474883804,0,,
1547.59755607893,1.71382228317092,1547.59755607893,0,,
1544.16036331982,1.71515930893601,1544.16036331982,0,,
1540.72317056072,1.71649310634319,1540.72317056072,0,,
1537.28597780161,1.71782368861675,1537.28597780161,0,,
1533.8487850425,1.71915106899159,1533.8487850425,0,,
1530.4115922834,1.72047526071448,1530.4115922834,0,,
1526.97439952429,1.72179627704535,1526.97439952429,0,,
1523.53720676518,1.72311413125848,1523.53720676518,0,,
1520.10001400608,1.72442883664387,1520.10001400608,0,,
1516.66282124697,1.72574040650848,1516.66282124697,0,,
1513.22562848786,1.72704885417758,1513.22562848786,0,,
