NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.56062400208445,1698.83403747961,0,,
1695.39684472051,1.56295429116118,1695.39684472051,0,,
1691.9596519614,1.56527681009948,1691.9596519614,0,,
1688.52245920229,1.56759159603822,1688.52245920229,0,,
1685.08526644319,1.56989868581034,1685.08526644319,0,,
1681.64807368408,1.57219811594717,1681.64807368408,0,,
1678.21088092498,1.57448992268283,1678.21088092498,0,,
1674.77368816587,1.57677414195859,1674.77368816587,0,,
1671.33649540676,1.57905080942697,1671.33649540676,0,,
1667.89930264766,1.58131996045598,1667.89930264766,0,,
1664.46210988855,1.58358163013322,1664.46210988855,0,,
1661.02491712944,1.58583585326998,1661.02491712944,0,,
1657.58772437034,1.58808266440513,1657.58772437034,0,,
1654.15053161123,1.59032209780919,1654.15053161123,0,,
1650.71333885212,1.59255418748809,1650.71333885212,0,,
1647.27614609302,1.59477896718713,1647.27614609302,0,,
1643.83895333391,1.59699647039465,1643.83895333391,0,,
1640.4017605748,1.59920673034589,1640.4017605748,0,,
1636.9645678157,1.60140978002656,1636.9645678157,0,,
1633.52737505659,1.60360565217655,1633.52737505659,0,,
1630.09018229748,1.60579437929354,1630.09018229748,0,,
1626.65298953838,1.60797599363646,1626.65298953838,0,,
1623.21579677927,1.61015052722909,1623.21579677927,0,,
1619.77860402017,1.61231801186343,1619.77860402017,0,,
1616.34141126106,1.61447847910322,1616.34141126106,0,,
1612.90421850195,1.61663196028728,1612.90421850195,0,,
1609.46702574284,1.61877848653271,1609.46702574284,0,,
1606.02983298374,1.62091808873847,1606.02983298374,0,,
1602.59264022463,1.62305079758835,1602.59264022463,0,,
1599.15544746553,1.6251766435544,1599.15544746553,0,,
1595.71825470642,1.62729565689998,1595.71825470642,0,,
1592.28106194731,1.62940786768301,1592.28106194731,0,,
1588.84386918821,1.63151330575899,1588.84386918821,0,,
1585.4066764291,1.63361200078418,1585.4066764291,0,,
1581.96948366999,1.63570398221854,1581.96948366999,0,,
1578.53229091089,1.63778927932886,1578.53229091089,0,,
1575.09509815178,1.63986792119166,1575.09509815178,0,,
1571.65790539267,1.64193993669616,1571.65790539267,0,,
1568.22071263357,1.64400535454725,1568.22071263357,0,,
1564.78351987446,1.64606420326833,1564.78351987446,0,,
1561.34632711535,1.64811651120417,1561.34632711535,0,,
1557.90913435625,1.65016230652384,1557.90913435625,0,,
1554.47194159714,1.65220161722342,1554.47194159714,0,,
1551.03474883804,1.65423447112887,1551.03474883804,0,,
1547.59755607893,1.65626089589867,1547.59755607893,0,,
1544.16036331982,1.65828091902677,1544.16036331982,0,,
1540.72317056072,1.66029456784507,1540.72317056072,0,,
1537.28597780161,1.66230186952627,1537.28597780161,0,,
1533.8487850425,1.66430285108645,1533.8487850425,0,,
1530.4115922834,1.66629753938782,1530.4115922834,0,,
1526.97439952429,1.66828596114124,1526.97439952429,0,,
1523.53720676518,1.6702681429089,1523.53720676518,0,,
1520.10001400608,1.67224411110684,1520.10001400608,0,,
1516.66282124697,1.67421389200763,1516.66282124697,0,,
1513.22562848786,1.67617751174277,1513.22562848786,0,,
1509.78843572876,1.67813499630542,1509.78843572876,0,,
1506.35124296965,1.68008637155271,1506.35124296965,0,,
1502.91405021054,1.6820316632084,1502.91405021054,0,,
1499.47685745144,1.68397089686527,1499.47685745144,0,,
1496.03966469233,1.68590409798763,1496.03966469233,0,,
1492.60247193323,1.68783129191383,1492.60247193323,0,,
1489.16527917412,1.68975250385861,1489.16527917412,0,,
1485.72808641501,1.69166775891555,1485.72808641501,0,,
1482.29089365591,1.69357708205955,1482.29089365591,0,,
1478.8537008968,1.69548049814923,1478.8537008968,0,,
1475.41650813769,1.69737803192922,1475.41650813769,0,,
1471.97931537859,1.69926970803271,1471.97931537859,0,,
1468.54212261948,1.70115555098368,1468.54212261948,0,,
1465.10492986037,1.70303558519939,1465.10492986037,0,,
1461.66773710127,1.70490983499262,1461.66773710127,0,,
1458.23054434216,1.70677832457417,1458.23054434216,0,,
1454.79335158305,1.70864107805506,1454.79335158305,0,,
1451.35615882395,1.71049811944891,1451.35615882395,0,,
1447.91896606484,1.71234947267436,1447.91896606484,0,,
1444.48177330573,1.71419516155734,1444.48177330573,0,,
1441.04458054663,1.7160352098333,1441.04458054663,0,,
