NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.65776860609511,1698.83403747961,0,,
1695.39684472051,1.65868976733364,1695.39684472051,0,,
1691.9596519614,1.65960919679226,1691.9596519614,0,,
1688.52245920229,1.66052690165839,1688.52245920229,0,,
1685.08526644319,1.66144288914646,1685.08526644319,0,,
1681.64807368408,1.66235716649868,1681.64807368408,0,,
1678.21088092498,1.66326974098564,1678.21088092498,0,,
1674.77368816587,1.66418061990703,1674.77368816587,0,,
1671.33649540676,1.66508981059232,1671.33649540676,0,,
1667.89930264766,1.66599732040143,1667.89930264766,0,,
1664.46210988855,1.6669031567255,1664.46210988855,0,,
1661.02491712944,1.66780732698756,1661.02491712944,0,,
1657.58772437034,1.66870983864329,1657.58772437034,0,,
1654.15053161123,1.66961069918174,1654.15053161123,0,,
1650.71333885212,1.67050991612608,1650.71333885212,0,,
1647.27614609302,1.67140749703437,1647.27614609302,0,,
1643.83895333391,1.67230344950034,1643.83895333391,0,,
1640.4017605748,1.67319778115416,1640.4017605748,0,,
1636.9645678157,1.67409049966321,1636.9645678157,0,,
1633.52737505659,1.67498161273296,1633.52737505659,0,,
1630.09018229748,1.67587112810769,1630.09018229748,0,,
1626.65298953838,1.67675905357139,1626.65298953838,0,,
1623.21579677927,1.67764539694859,1623.21579677927,0,,
1619.77860402017,1.67853016610518,1619.77860402017,0,,
1616.34141126106,1.67941336894932,1616.34141126106,0,,
1612.90421850195,1.68029501343228,1612.90421850195,0,,
1609.46702574284,1.68117510754938,1609.46702574284,0,,
1606.02983298374,1.68205365934084,1606.02983298374,0,,
1602.59264022463,1.68293067689275,1602.59264022463,0,,
1599.15544746553,1.68380616833799,1599.15544746553,0,,
1595.71825470642,1.68468014185716,1595.71825470642,0,,
1592.28106194731,1.68555260567957,1592.28106194731,0,,
1588.84386918821,1.68642356808421,1588.84386918821,0,,
1585.4066764291,1.68729303740075,1585.4066764291,0,,
1581.96948366999,1.68816102201053,1581.96948366999,0,,
1578.53229091089,1.68902753034762,1578.53229091089,0,,
1575.09509815178,1.68989257089982,1575.09509815178,0,,
1571.65790539267,1.69075615220979,1571.65790539267,0,,
1568.22071263357,1.69161828287604,1568.22071263357,0,,
1564.78351987446,1.6924789715541,1564.78351987446,0,,
1561.34632711535,1.69333822695758,1561.34632711535,0,,
1557.90913435625,1.69419605785935,1557.90913435625,0,,
1554.47194159714,1.69505247309263,1554.47194159714,0,,
1551.03474883804,1.69590748155224,1551.03474883804,0,,
1547.59755607893,1.69676109219571,1547.59755607893,0,,
1544.16036331982,1.69761331404451,1544.16036331982,0,,
1540.72317056072,1.69846415618534,1540.72317056072,0,,
1537.28597780161,1.6993136277713,1537.28597780161,0,,
1533.8487850425,1.70016173802319,1533.8487850425,0,,
1530.4115922834,1.70100849623082,1530.4115922834,0,,
1526.97439952429,1.70185391175433,1526.97439952429,0,,
1523.53720676518,1.70269799402548,1523.53720676518,0,,
1520.10001400608,1.70354075254908,1520.10001400608,0,,
1516.66282124697,1.70438219690432,1516.66282124697,0,,
1513.22562848786,1.70522233674622,1513.22562848786,0,,
1509.78843572876,1.70606118180704,1509.78843572876,0,,
1506.35124296965,1.70689874189776,1506.35124296965,0,,
1502.91405021054,1.70773502690954,1502.91405021054,0,,
1499.47685745144,1.70857004681528,1499.47685745144,0,,
1496.03966469233,1.70940381167111,1496.03966469233,0,,
1492.60247193323,1.710236331618,1492.60247193323,0,,
1489.16527917412,1.71106761688334,1489.16527917412,0,,
1485.72808641501,1.71189767778257,1485.72808641501,0,,
1482.29089365591,1.71272652472083,1482.29089365591,0,,
1478.8537008968,1.71355416819468,1478.8537008968,0,,
1475.41650813769,1.71438061879375,1475.41650813769,0,,
1471.97931537859,1.71520588720259,1471.97931537859,0,,
1468.54212261948,1.71602998420236,1468.54212261948,0,,
1465.10492986037,1.71685292067271,1465.10492986037,0,,
1461.66773710127,1.71767470759361,1461.66773710127,0,,
1458.23054434216,1.71849535604723,1458.23054434216,0,,
1454.79335158305,1.71931487721988,1454.79335158305,0,,
1451.35615882395,1.72013328240396,1451.35615882395,0,,
1447.91896606484,1.72095058299998,1447.91896606484,0,,
1444.48177330573,1.72176679051854,1444.48177330573,0,,
1441.04458054663,1.72258191658249,1441.04458054663,0,,
1437.60738778752,1.72339597292898,1437.60738778752,0,,
1434.17019502842,1.72420897141163,1434.17019502842,0,,
1430.73300226931,1.72502092400278,1430.73300226931,0,,
1427.2958095102,1.72583184279566,1427.2958095102,0,,
1423.8586167511,1.72664174000675,1423.8586167511,0,,
1420.42142399199,1.72745062797805,1420.42142399199,0,,
1416.98423123288,1.72825851917954,1416.98423123288,0,,
1413.54703847378,1.72906542621152,1413.54703847378,0,,
1410.10984571467,1.72987136180718,1410.10984571467,0,,
1406.67265295556,1.73067633883505,1406.67265295556,0,,
1403.23546019646,1.73148037030164,1403.23546019646,0,,
1399.79826743735,1.73228346935406,1399.79826743735,0,,
1396.36107467824,1.73308564928268,1396.36107467824,0,,
1392.92388191914,1.73388692352391,1392.92388191914,0,,
1389.48668916003,1.73468730566301,1389.48668916003,0,,
1386.04949640092,1.73548680943689,1386.04949640092,0,,
1382.61230364182,1.73628544873712,1382.61230364182,0,,
1379.17511088271,1.73708323761283,1379.17511088271,0,,
1375.73791812361,1.73788019027382,1375.73791812361,0,,
1372.3007253645,1.73867632109362,1372.3007253645,0,,
1368.86353260539,1.7394716446127,1368.86353260539,0,,
1365.42633984629,1.74026617554172,1365.42633984629,0,,
1361.98914708718,1.74105992876482,1361.98914708718,0,,
1358.55195432807,1.74185291934302,1358.55195432807,0,,
