NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.72680361676842,1698.83403747961,0,,
1695.39684472051,1.72735726288499,1695.39684472051,0,,
1691.9596519614,1.72791045685436,1691.9596519614,0,,
1688.52245920229,1.72846320496769,1688.52245920229,0,,
1685.08526644319,1.72901551357569,1685.08526644319,0,,
1681.64807368408,1.72956738908956,1681.64807368408,0,,
1678.21088092498,1.73011883798189,1678.21088092498,0,,
1674.77368816587,1.73066986678755,1674.77368816587,0,,
1671.33649540676,1.73122048210467,1671.33649540676,0,,
1667.89930264766,1.73177069059559,1667.89930264766,0,,
1664.46210988855,1.7323204989878,1664.46210988855,0,,
1661.02491712944,1.73286991407497,1661.02491712944,0,,
1657.58772437034,1.73341894271793,1657.58772437034,0,,
1654.15053161123,1.73396759184569,1654.15053161123,0,,
1650.71333885212,1.73451586845652,1650.71333885212,0,,
1647.27614609302,1.73506377961895,1647.27614609302,0,,
1643.83895333391,1.73561133247289,1643.83895333391,0,,
1640.4017605748,1.73615853423068,1640.4017605748,0,,
1636.9645678157,1.73670539217828,1636.9645678157,0,,
1633.52737505659,1.73725191367633,1633.52737505659,0,,
1630.09018229748,1.73779810616134,1630.09018229748,0,,
1626.65298953838,1.73834397714684,1626.65298953838,0,,
1623.21579677927,1.73888953422463,1623.21579677927,0,,
1619.77860402017,1.73943478506592,1619.77860402017,0,,
1616.34141126106,1.73997973742262,1616.34141126106,0,,
1612.90421850195,1.74052439912858,1612.90421850195,0,,
1609.46702574284,1.7410687781009,1609.46702574284,0,,
1606.02983298374,1.74161288234117,1606.02983298374,0,,
1602.59264022463,1.74215671993689,1602.59264022463,0,,
1599.15544746553,1.74270029906274,1599.15544746553,0,,
1595.71825470642,1.74324362798201,1595.71825470642,0,,
1592.28106194731,1.74378671504799,1592.28106194731,0,,
1588.84386918821,1.74432956870537,1588.84386918821,0,,
1585.4066764291,1.74487219749176,1585.4066764291,0,,
1581.96948366999,1.74541461003908,1581.96948366999,0,,
1578.53229091089,1.74595681507518,1578.53229091089,0,,
1575.09509815178,1.74649882142526,1575.09509815178,0,,
1571.65790539267,1.74704063801352,1571.65790539267,0,,
1568.22071263357,1.74758227386474,1568.22071263357,0,,
1564.78351987446,1.74812373810586,1564.78351987446,0,,
1561.34632711535,1.7486650399677,1561.34632711535,0,,
1557.90913435625,1.74920618878658,1557.90913435625,0,,
1554.47194159714,1.74974719400611,1554.47194159714,0,,
1551.03474883804,1.75028806517887,1551.03474883804,0,,
1547.59755607893,1.75082881196824,1547.59755607893,0,,
1544.16036331982,1.75136944415022,1544.16036331982,0,,
1540.72317056072,1.75190997161526,1540.72317056072,0,,
1537.28597780161,1.75245040437015,1537.28597780161,0,,
1533.8487850425,1.75299075253998,1533.8487850425,0,,
1530.4115922834,1.75353102637005,1530.4115922834,0,,
1526.97439952429,1.75407123622793,1526.97439952429,0,,
1523.53720676518,1.75461139260547,1523.53720676518,0,,
1520.10001400608,1.75515150612086,1520.10001400608,0,,
1516.66282124697,1.75569158752081,1516.66282124697,0,,
1513.22562848786,1.75623164768265,1513.22562848786,0,,
1509.78843572876,1.7567716976166,1509.78843572876,0,,
1506.35124296965,1.75731174846795,1506.35124296965,0,,
1502.91405021054,1.75785181151944,1502.91405021054,0,,
1499.47685745144,1.75839189819354,1499.47685745144,0,,
1496.03966469233,1.75893202005485,1496.03966469233,0,,
1492.60247193323,1.75947218881255,1492.60247193323,0,,
1489.16527917412,1.76001241632291,1489.16527917412,0,,
1485.72808641501,1.76055271459178,1485.72808641501,0,,
1482.29089365591,1.76109309577721,1482.29089365591,0,,
1478.8537008968,1.7616335721921,1478.8537008968,0,,
1475.41650813769,1.76217415630688,1475.41650813769,0,,
1471.97931537859,1.76271486075228,1471.97931537859,0,,
1468.54212261948,1.76325569832213,1468.54212261948,0,,
1465.10492986037,1.76379668197625,1465.10492986037,0,,
1461.66773710127,1.76433782484335,1461.66773710127,0,,
