NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.67879607425777,1698.83403747961,0,,
1695.39684472051,1.6803128732978,1695.39684472051,0,,
1691.9596519614,1.68182568917049,1691.9596519614,0,,
1688.52245920229,1.68333453557773,1688.52245920229,0,,
1685.08526644319,1.68483942617662,1685.08526644319,0,,
1681.64807368408,1.68634037458047,1681.64807368408,0,,
1678.21088092498,1.68783739435972,1678.21088092498,0,,
1674.77368816587,1.6893304990429,1674.77368816587,0,,
1671.33649540676,1.69081970211759,1671.33649540676,0,,
1667.89930264766,1.69230501703139,1667.89930264766,0,,
1664.46210988855,1.69378645719282,1664.46210988855,0,,
1661.02491712944,1.69526403597232,1661.02491712944,0,,
1657.58772437034,1.69673776670318,1657.58772437034,0,,
1654.15053161123,1.69820766268251,1654.15053161123,0,,
1650.71333885212,1.69967373717214,1650.71333885212,0,,
1647.27614609302,1.70113600339968,1647.27614609302,0,,
1643.83895333391,1.70259447455935,1643.83895333391,0,,
1640.4017605748,1.70404916381303,1640.4017605748,0,,
1636.9645678157,1.70550008429117,1636.9645678157,0,,
1633.52737505659,1.70694724909378,1633.52737505659,0,,
1630.09018229748,1.70839067129136,1630.09018229748,0,,
1626.65298953838,1.70983036392589,1626.65298953838,0,,
1623.21579677927,1.71126634001177,1623.21579677927,0,,
1619.77860402017,1.71269861253683,1619.77860402017,0,,
1616.34141126106,1.71412719446325,1616.34141126106,0,,
1612.90421850195,1.71555209872857,1612.90421850195,0,,
1609.46702574284,1.71697333824666,1609.46702574284,0,,
1606.02983298374,1.7183909259087,1606.02983298374,0,,
1602.59264022463,1.71980487458416,1602.59264022463,0,,
1599.15544746553,1.72121519712176,1599.15544746553,0,,
1595.71825470642,1.72262190635055,1595.71825470642,0,,
1592.28106194731,1.72402501508081,1592.28106194731,0,,
1588.84386918821,1.72542453610509,1588.84386918821,0,,
1585.4066764291,1.72682048219923,1585.4066764291,0,,
1581.96948366999,1.72821286612336,1581.96948366999,0,,
1578.53229091089,1.7296017006229,1578.53229091089,0,,
1575.09509815178,1.73098699842961,1575.09509815178,0,,
1571.65790539267,1.7323687722626,1571.65790539267,0,,
1568.22071263357,1.73374703482935,1568.22071263357,0,,
1564.78351987446,1.7351217988268,1564.78351987446,0,,
1561.34632711535,1.73649307694234,1561.34632711535,0,,
1557.90913435625,1.73786088185489,1557.90913435625,0,,
1554.47194159714,1.73922522623597,1554.47194159714,0,,
1551.03474883804,1.74058612275075,1551.03474883804,0,,
1547.59755607893,1.74194358405912,1547.59755607893,0,,
1544.16036331982,1.74329762281681,1544.16036331982,0,,
1540.72317056072,1.74464825167644,1540.72317056072,0,,
1537.28597780161,1.74599548328864,1537.28597780161,0,,
1533.8487850425,1.74733933030316,1533.8487850425,0,,
1530.4115922834,1.74867980537,1530.4115922834,0,,
1526.97439952429,1.75001692114051,1526.97439952429,0,,
1523.53720676518,1.75135069026853,1523.53720676518,0,,
1520.10001400608,1.75268112541158,1520.10001400608,0,,
1516.66282124697,1.75400823923196,1516.66282124697,0,,
1513.22562848786,1.75533204439797,1513.22562848786,0,,
1509.78843572876,1.75665255358507,1509.78843572876,0,,
1506.35124296965,1.75796977947704,1506.35124296965,0,,
1502.91405021054,1.75928373476726,1502.91405021054,0,,
1499.47685745144,1.76059443215983,1499.47685745144,0,,
1496.03966469233,1.7619018843709,1496.03966469233,0,,
1492.60247193323,1.76320610412982,1492.60247193323,0,,
1489.16527917412,1.76450710418046,1489.16527917412,0,,
1485.72808641501,1.76580489728245,1485.72808641501,0,,
1482.29089365591,1.76709949621245,1482.29089365591,0,,
1478.8537008968,1.76839091376551,1478.8537008968,0,,
1475.41650813769,1.76967916275628,1475.41650813769,0,,
1471.97931537859,1.77096425602043,1471.97931537859,0,,
1468.54212261948,1.77224620641597,1468.54212261948,0,,
1465.10492986037,1.77352502682457,1465.10492986037,0,,
1461.66773710127,1.77480073015299,1461.66773710127,0,,
1458.23054434216,1.77607332933444,1458.23054434216,0,,
1454.79335158305,1.77734283733002,1454.79335158305,0,,
1451.35615882395,1.7786092671301,1451.35615882395,0,,
1447.91896606484,1.77987263175585,1447.91896606484,0,,
1444.48177330573,1.78113294426062,1444.48177330573,0,,
1441.04458054663,1.7823902177315,1441.04458054663,0,,
1437.60738778752,1.78364446529077,1437.60738778752,0,,
1434.17019502842,1.7848957000975,1434.17019502842,0,,
1430.73300226931,1.78614393534901,1430.73300226931,0,,
1427.2958095102,1.78738918428253,1427.2958095102,0,,
1423.8586167511,1.78863146017673,1423.8586167511,0,,
1420.42142399199,1.7898707763534,1420.42142399199,0,,
1416.98423123288,1.79110714617902,1416.98423123288,0,,
1413.54703847378,1.79234058306651,1413.54703847378,0,,
1410.10984571467,1.79357110047683,1410.10984571467,0,,
1406.67265295556,1.79479871192079,1406.67265295556,0,,
1403.23546019646,1.79602343096073,1403.23546019646,0,,
1399.79826743735,1.79724527121232,1399.79826743735,0,,
1396.36107467824,1.79846424634636,1396.36107467824,0,,
1392.92388191914,1.79968037009061,1392.92388191914,0,,
1389.48668916003,1.80089365623161,1389.48668916003,0,,
1386.04949640092,1.80210411861663,1386.04949640092,0,,
1382.61230364182,1.80331177115557,1382.61230364182,0,,
1379.17511088271,1.80451662782287,1379.17511088271,0,,
1375.73791812361,1.80571870265955,1375.73791812361,0,,
1372.3007253645,1.8069180097752,1372.3007253645,0,,
1368.86353260539,1.80811456335003,1368.86353260539,0,,
1365.42633984629,1.80930837763698,1365.42633984629,0,,
