NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.65871845643381,1698.83403747961,0,,
1695.39684472051,1.66046585310386,1695.39684472051,0,,
1691.9596519614,1.6622082537496,1691.9596519614,0,,
1688.52245920229,1.663945676454,1688.52245920229,0,,
1685.08526644319,1.66567813920527,1685.08526644319,0,,
1681.64807368408,1.66740565989821,1681.64807368408,0,,
1678.21088092498,1.66912825633557,1678.21088092498,0,,
1674.77368816587,1.67084594622942,1674.77368816587,0,,
1671.33649540676,1.67255874720244,1671.33649540676,0,,
1667.89930264766,1.67426667678924,1667.89930264766,0,,
1664.46210988855,1.67596975243764,1664.46210988855,0,,
1661.02491712944,1.67766799151013,1661.02491712944,0,,
1657.58772437034,1.67936141128494,1657.58772437034,0,,
1654.15053161123,1.68105002895752,1654.15053161123,0,,
1650.71333885212,1.68273386164168,1650.71333885212,0,,
1647.27614609302,1.68441292637102,1647.27614609302,0,,
1643.83895333391,1.68608724009997,1643.83895333391,0,,
1640.4017605748,1.68775681970532,1640.4017605748,0,,
1636.9645678157,1.68942168198729,1636.9645678157,0,,
1633.52737505659,1.6910818436708,1633.52737505659,0,,
1630.09018229748,1.69273732140678,1630.09018229748,0,,
1626.65298953838,1.69438813177334,1626.65298953838,0,,
1623.21579677927,1.69603429127708,1623.21579677927,0,,
1619.77860402017,1.69767581635418,1619.77860402017,0,,
1616.34141126106,1.69931272337179,1616.34141126106,0,,
1612.90421850195,1.70094502862915,1612.90421850195,0,,
1609.46702574284,1.70257274835872,1609.46702574284,0,,
1606.02983298374,1.70419589872763,1606.02983298374,0,,
1602.59264022463,1.70581449583863,1602.59264022463,0,,
1599.15544746553,1.70742855573146,1599.15544746553,0,,
1595.71825470642,1.70903809438391,1595.71825470642,0,,
1592.28106194731,1.71064312771319,1592.28106194731,0,,
1588.84386918821,1.71224367157696,1588.84386918821,0,,
1585.4066764291,1.71383974177456,1585.4066764291,0,,
1581.96948366999,1.71543135404825,1581.96948366999,0,,
1578.53229091089,1.7170185240844,1578.53229091089,0,,
1575.09509815178,1.71860126751454,1575.09509815178,0,,
1571.65790539267,1.72017959991666,1571.65790539267,0,,
1568.22071263357,1.72175353681644,1568.22071263357,0,,
1564.78351987446,1.72332309368826,1564.78351987446,0,,
1561.34632711535,1.72488828595646,1561.34632711535,0,,
1557.90913435625,1.7264491289966,1557.90913435625,0,,
1554.47194159714,1.7280056381365,1554.47194159714,0,,
1551.03474883804,1.7295578286575,1551.03474883804,0,,
1547.59755607893,1.73110571579556,1547.59755607893,0,,
1544.16036331982,1.73264931474259,1544.16036331982,0,,
1540.72317056072,1.73418864064742,1540.72317056072,0,,
1537.28597780161,1.73572370861716,1537.28597780161,0,,
1533.8487850425,1.73725453371822,1533.8487850425,0,,
1530.4115922834,1.73878113097766,1530.4115922834,0,,
1526.97439952429,1.74030351538424,1526.97439952429,0,,
1523.53720676518,1.74182170188966,1523.53720676518,0,,
1520.10001400608,1.74333570540973,1520.10001400608,0,,
1516.66282124697,1.74484554082558,1516.66282124697,0,,
1513.22562848786,1.74635122298481,1513.22562848786,0,,
1509.78843572876,1.74785276670276,1509.78843572876,0,,
1506.35124296965,1.74935018676362,1506.35124296965,0,,
1502.91405021054,1.75084349792171,1502.91405021054,0,,
1499.47685745144,1.75233271490261,1499.47685745144,0,,
1496.03966469233,1.75381785240444,1496.03966469233,0,,
1492.60247193323,1.75529892509906,1492.60247193323,0,,
1489.16527917412,1.75677594763327,1489.16527917412,0,,
1485.72808641501,1.75824893463,1485.72808641501,0,,
1482.29089365591,1.75971790068964,1482.29089365591,0,,
1478.8537008968,1.76118286039119,1478.8537008968,0,,
1475.41650813769,1.76264382829356,1475.41650813769,0,,
1471.97931537859,1.76410081893676,1471.97931537859,0,,
1468.54212261948,1.76555384684317,1468.54212261948,0,,
1465.10492986037,1.76700292651892,1465.10492986037,0,,
1461.66773710127,1.76844807245492,1461.66773710127,0,,
1458.23054434216,1.7698892991284,1458.23054434216,0,,
1454.79335158305,1.77132662100402,1454.79335158305,0,,
1451.35615882395,1.77276005253519,1451.35615882395,0,,
1447.91896606484,1.77418960816547,1447.91896606484,0,,
1444.48177330573,1.7756153023298,1444.48177330573,0,,
1441.04458054663,1.77703714945577,1441.04458054663,0,,
1437.60738778752,1.7784551639651,1437.60738778752,0,,
1434.17019502842,1.77986936027488,1434.17019502842,0,,
1430.73300226931,1.78127975279893,1430.73300226931,0,,
1427.2958095102,1.78268635594916,1427.2958095102,0,,
1423.8586167511,1.78408918413704,1423.8586167511,0,,
1420.42142399199,1.78548825177482,1420.42142399199,0,,
1416.98423123288,1.78688357327707,1416.98423123288,0,,
1413.54703847378,1.78827516306203,1413.54703847378,0,,
1410.10984571467,1.78966303555306,1410.10984571467,0,,
1406.67265295556,1.79104720518005,1406.67265295556,0,,
1403.23546019646,1.79242768638093,1403.23546019646,0,,
