NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.63554876645506,1698.83403747961,0,,
1695.39684472051,1.63725477801005,1695.39684472051,0,,
1691.9596519614,1.63895598158536,1691.9596519614,0,,
1688.52245920229,1.64065239484402,1688.52245920229,0,,
1685.08526644319,1.64234403536339,1685.08526644319,0,,
1681.64807368408,1.64403092063648,1681.64807368408,0,,
1678.21088092498,1.64571306807324,1678.21088092498,0,,
1674.77368816587,1.64739049500198,1674.77368816587,0,,
1671.33649540676,1.64906321867057,1671.33649540676,0,,
1667.89930264766,1.65073125624785,1667.89930264766,0,,
1664.46210988855,1.65239462482486,1664.46210988855,0,,
1661.02491712944,1.6540533414162,1661.02491712944,0,,
1657.58772437034,1.65570742296125,1657.58772437034,0,,
1654.15053161123,1.65735688632553,1654.15053161123,0,,
1650.71333885212,1.65900174830192,1650.71333885212,0,,
1647.27614609302,1.66064202561195,1647.27614609302,0,,
1643.83895333391,1.66227773490706,1643.83895333391,0,,
1640.4017605748,1.66390889276991,1640.4017605748,0,,
1636.9645678157,1.66553551571559,1636.9645678157,0,,
1633.52737505659,1.66715762019288,1633.52737505659,0,,
1630.09018229748,1.66877522258552,1630.09018229748,0,,
1626.65298953838,1.67038833921343,1626.65298953838,0,,
1623.21579677927,1.67199698633399,1623.21579677927,0,,
1619.77860402017,1.67360118014325,1619.77860402017,0,,
1616.34141126106,1.67520093677716,1616.34141126106,0,,
1612.90421850195,1.67679627231285,1612.90421850195,0,,
1609.46702574284,1.67838720276981,1609.46702574284,0,,
1606.02983298374,1.67997374411116,1606.02983298374,0,,
1602.59264022463,1.68155591224484,1602.59264022463,0,,
1599.15544746553,1.68313372302488,1599.15544746553,0,,
1595.71825470642,1.68470719225256,1595.71825470642,0,,
1592.28106194731,1.68627633567772,1592.28106194731,0,,
1588.84386918821,1.68784116899991,1588.84386918821,0,,
1585.4066764291,1.68940170786964,1585.4066764291,0,,
1581.96948366999,1.69095796788961,1581.96948366999,0,,
1578.53229091089,1.69250996461592,1578.53229091089,0,,
1575.09509815178,1.69405771355928,1575.09509815178,0,,
1571.65790539267,1.69560123018627,1571.65790539267,0,,
1568.22071263357,1.69714052992054,1568.22071263357,0,,
1564.78351987446,1.69867562814399,1564.78351987446,0,,
1561.34632711535,1.7002065401981,1561.34632711535,0,,
1557.90913435625,1.70173328138506,1557.90913435625,0,,
1554.47194159714,1.70325586696905,1554.47194159714,0,,
1551.03474883804,1.70477431217746,1551.03474883804,0,,
1547.59755607893,1.70628863220212,1547.59755607893,0,,
1544.16036331982,1.70779884220053,1544.16036331982,0,,
1540.72317056072,1.70930495729712,1540.72317056072,0,,
1537.28597780161,1.71080699258449,1537.28597780161,0,,
1533.8487850425,1.71230496312463,1533.8487850425,0,,
1530.4115922834,1.71379888395021,1530.4115922834,0,,
1526.97439952429,1.7152887700658,1526.97439952429,0,,
1523.53720676518,1.71677463644916,1523.53720676518,0,,
1520.10001400608,1.71825649805249,1520.10001400608,0,,
1516.66282124697,1.71973436980369,1516.66282124697,0,,
1513.22562848786,1.72120826660765,1513.22562848786,0,,
1509.78843572876,1.72267820334755,1509.78843572876,0,,
1506.35124296965,1.72414419488609,1506.35124296965,0,,
1502.91405021054,1.72560625606687,1502.91405021054,0,,
1499.47685745144,1.72706440171559,1499.47685745144,0,,
1496.03966469233,1.72851864664145,1496.03966469233,0,,
1492.60247193323,1.72996900563843,1492.60247193323,0,,
1489.16527917412,1.73141549348658,1489.16527917412,0,,
1485.72808641501,1.73285812495342,1485.72808641501,0,,
1482.29089365591,1.73429691479522,1482.29089365591,0,,
1478.8537008968,1.73573187775842,1478.8537008968,0,,
1475.41650813769,1.7371630285809,1475.41650813769,0,,
1471.97931537859,1.73859038199343,1471.97931537859,0,,
1468.54212261948,1.74001395272101,1468.54212261948,0,,
1465.10492986037,1.74143375548427,1465.10492986037,0,,
1461.66773710127,1.74284980500086,1461.66773710127,0,,
1458.23054434216,1.74426211598691,1458.23054434216,0,,
1454.79335158305,1.7456707031584,1454.79335158305,0,,
1451.35615882395,1.7470755812326,1451.35615882395,0,,
1447.91896606484,1.74847676492957,1447.91896606484,0,,
1444.48177330573,1.74987426897359,1444.48177330573,0,,
1441.04458054663,1.75126810809463,1441.04458054663,0,,
1437.60738778752,1.75265829702986,1437.60738778752,0,,
1434.17019502842,1.75404485052515,1434.17019502842,0,,
1430.73300226931,1.75542778333658,1430.73300226931,0,,
1427.2958095102,1.75680711023202,1427.2958095102,0,,
1423.8586167511,1.75818284599261,1423.8586167511,0,,
1420.42142399199,1.75955500541441,1420.42142399199,0,,
1416.98423123288,1.76092360330992,1416.98423123288,0,,
1413.54703847378,1.76228865450973,1413.54703847378,0,,
1410.10984571467,1.76365017386412,1410.10984571467,0,,
1406.67265295556,1.76500817624472,1406.67265295556,0,,
1403.23546019646,1.76636267654614,1403.23546019646,0,,
1399.79826743735,1.76771368968767,1399.79826743735,0,,
1396.36107467824,1.76906123061501,1396.36107467824,0,,
1392.92388191914,1.77040531430194,1392.92388191914,0,,
