NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.70635580948076,1698.83403747961,0,,
1695.39684472051,1.70764027673984,1695.39684472051,0,,
1691.9596519614,1.70892177509372,1691.9596519614,0,,
1688.52245920229,1.71020031518751,1688.52245920229,0,,
1685.08526644319,1.71147590766348,1685.08526644319,0,,
1681.64807368408,1.71274856316186,1681.64807368408,0,,
1678.21088092498,1.71401829232168,1678.21088092498,0,,
1674.77368816587,1.71528510578152,1674.77368816587,0,,
1671.33649540676,1.71654901418038,1671.33649540676,0,,
1667.89930264766,1.7178100281585,1667.89930264766,0,,
1664.46210988855,1.71906815835815,1664.46210988855,0,,
1661.02491712944,1.7203234154245,1661.02491712944,0,,
1657.58772437034,1.72157581000646,1657.58772437034,0,,
1654.15053161123,1.72282535275755,1654.15053161123,0,,
1650.71333885212,1.72407205433669,1650.71333885212,0,,
1647.27614609302,1.72531592540915,1647.27614609302,0,,
1643.83895333391,1.72655697664737,1643.83895333391,0,,
1640.4017605748,1.72779521873185,1640.4017605748,0,,
1636.9645678157,1.72903066235204,1636.9645678157,0,,
1633.52737505659,1.73026331820725,1633.52737505659,0,,
1630.09018229748,1.73149319700755,1630.09018229748,0,,
1626.65298953838,1.73272030947466,1626.65298953838,0,,
1623.21579677927,1.73394466634291,1623.21579677927,0,,
1619.77860402017,1.73516627836015,1619.77860402017,0,,
1616.34141126106,1.73638515628869,1616.34141126106,0,,
1612.90421850195,1.73760131090628,1612.90421850195,0,,
1609.46702574284,1.73881475300703,1609.46702574284,0,,
1606.02983298374,1.74002549340242,1606.02983298374,0,,
1602.59264022463,1.74123354292224,1602.59264022463,0,,
1599.15544746553,1.74243891241564,1599.15544746553,0,,
1595.71825470642,1.7436416127521,1595.71825470642,0,,
1592.28106194731,1.74484165482243,1592.28106194731,0,,
1588.84386918821,1.74603904953984,1588.84386918821,0,,
1585.4066764291,1.74723380784095,1585.4066764291,0,,
1581.96948366999,1.74842594068686,1581.96948366999,0,,
1578.53229091089,1.74961545906418,1578.53229091089,0,,
1575.09509815178,1.75080237398616,1575.09509815178,0,,
1571.65790539267,1.75198669649376,1571.65790539267,0,,
1568.22071263357,1.75316843765671,1568.22071263357,0,,
1564.78351987446,1.75434760857472,1564.78351987446,0,,
1561.34632711535,1.75552422037852,1561.34632711535,0,,
1557.90913435625,1.75669828423107,1557.90913435625,0,,
1554.47194159714,1.75786981132871,1554.47194159714,0,,
1551.03474883804,1.75903881290231,1551.03474883804,0,,
1547.59755607893,1.76020530021849,1547.59755607893,0,,
1544.16036331982,1.76136928458084,1544.16036331982,0,,
1540.72317056072,1.76253077733112,1540.72317056072,0,,
1537.28597780161,1.76368978985052,1537.28597780161,0,,
1533.8487850425,1.76484633356091,1533.8487850425,0,,
1530.4115922834,1.76600041992614,1530.4115922834,0,,
1526.97439952429,1.76715206045332,1526.97439952429,0,,
1523.53720676518,1.76830126669413,1523.53720676518,0,,
1520.10001400608,1.76944805024618,1520.10001400608,0,,
1516.66282124697,1.77059242275435,1516.66282124697,0,,
1513.22562848786,1.77173439591217,1513.22562848786,0,,
