NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.63478148559436,1698.83403747961,0,,
1695.39684472051,1.63666897677648,1695.39684472051,0,,
1691.9596519614,1.63855085938055,1691.9596519614,0,,
1688.52245920229,1.64042715514482,1688.52245920229,0,,
1685.08526644319,1.64229788567697,1685.08526644319,0,,
1681.64807368408,1.64416307245591,1681.64807368408,0,,
1678.21088092498,1.64602273683354,1678.21088092498,0,,
1674.77368816587,1.64787690003666,1674.77368816587,0,,
1671.33649540676,1.64972558316866,1671.33649540676,0,,
1667.89930264766,1.6515688072112,1667.89930264766,0,,
1664.46210988855,1.65340659302598,1664.46210988855,0,,
1661.02491712944,1.65523896135664,1661.02491712944,0,,
1657.58772437034,1.65706593283014,1657.58772437034,0,,
1654.15053161123,1.65888752795871,1654.15053161123,0,,
1650.71333885212,1.66070376714138,1650.71333885212,0,,
1647.27614609302,1.66251467066581,1647.27614609302,0,,
1643.83895333391,1.66432025870968,1643.83895333391,0,,
1640.4017605748,1.66612055134257,1640.4017605748,0,,
1636.9645678157,1.66791556852751,1636.9645678157,0,,
1633.52737505659,1.66970533012254,1633.52737505659,0,,
1630.09018229748,1.6714898558824,1630.09018229748,0,,
1626.65298953838,1.67326916545998,1626.65298953838,0,,
1623.21579677927,1.67504327840813,1623.21579677927,0,,
1619.77860402017,1.67681221418101,1619.77860402017,0,,
1616.34141126106,1.67857599213576,1616.34141126106,0,,
1612.90421850195,1.68033463153408,1612.90421850195,0,,
1609.46702574284,1.68208815154366,1609.46702574284,0,,
1606.02983298374,1.68383657123984,1606.02983298374,0,,
1602.59264022463,1.68557990960702,1602.59264022463,0,,
1599.15544746553,1.68731818554031,1599.15544746553,0,,
1595.71825470642,1.68905141784686,1595.71825470642,0,,
1592.28106194731,1.69077962524758,1592.28106194731,0,,
1588.84386918821,1.69250282637842,1588.84386918821,0,,
1585.4066764291,1.694221039792,1585.4066764291,0,,
1581.96948366999,1.69593428395906,1581.96948366999,0,,
1578.53229091089,1.69764257726987,1578.53229091089,0,,
1575.09509815178,1.6993459380358,1575.09509815178,0,,
1571.65790539267,1.70104438449068,1571.65790539267,0,,
1568.22071263357,1.70273793479237,1568.22071263357,0,,
1564.78351987446,1.70442660702409,1564.78351987446,0,,
1561.34632711535,1.70611041919595,1561.34632711535,0,,
1557.90913435625,1.70778938924636,1557.90913435625,0,,
1554.47194159714,1.70946353504351,1554.47194159714,0,,
1551.03474883804,1.71113287438675,1551.03474883804,0,,
1547.59755607893,1.71279742500801,1547.59755607893,0,,
1544.16036331982,1.71445720457334,1544.16036331982,0,,
1540.72317056072,1.7161122306842,1540.72317056072,0,,
1537.28597780161,1.71776252087899,1537.28597780161,0,,
1533.8487850425,1.71940809263435,1533.8487850425,0,,
1530.4115922834,1.72104896336674,1530.4115922834,0,,
1526.97439952429,1.72268515043372,1526.97439952429,0,,
1523.53720676518,1.72431667113544,1523.53720676518,0,,
1520.10001400608,1.725943542716,1520.10001400608,0,,
1516.66282124697,1.72756578236496,1516.66282124697,0,,
1513.22562848786,1.72918340721862,1513.22562848786,0,,
1509.78843572876,1.73079643436162,1509.78843572876,0,,
1506.35124296965,1.73240488082808,1506.35124296965,0,,
1502.91405021054,1.73400876360336,1502.91405021054,0,,
1499.47685745144,1.73560809962518,1499.47685745144,0,,
1496.03966469233,1.73720290578521,1496.03966469233,0,,
1492.60247193323,1.73879319893043,1492.60247193323,0,,
1489.16527917412,1.74037899586456,1489.16527917412,0,,
1485.72808641501,1.74196031334951,1485.72808641501,0,,
1482.29089365591,1.74353716810673,1482.29089365591,0,,
1478.8537008968,1.74510957681879,1478.8537008968,0,,
1475.41650813769,1.74667755613068,1475.41650813769,0,,
1471.97931537859,1.74824112265127,1471.97931537859,0,,
1468.54212261948,1.74980029295481,1468.54212261948,0,,
1465.10492986037,1.75135508358237,1465.10492986037,0,,
1461.66773710127,1.7529055110432,1461.66773710127,0,,
1458.23054434216,1.75445159181635,1458.23054434216,0,,
1454.79335158305,1.755993342352,1454.79335158305,0,,
1451.35615882395,1.75753077907295,1451.35615882395,0,,
1447.91896606484,1.75906391837617,1447.91896606484,0,,
1444.48177330573,1.76059277663423,1444.48177330573,0,,
1441.04458054663,1.7621173701968,1441.04458054663,0,,
1437.60738778752,1.76363771539211,1437.60738778752,0,,
1434.17019502842,1.76515382852858,1434.17019502842,0,,
1430.73300226931,1.76666572589618,1430.73300226931,0,,
1427.2958095102,1.76817342376808,1427.2958095102,0,,
1423.8586167511,1.76967693840213,1423.8586167511,0,,
1420.42142399199,1.77117628604237,1420.42142399199,0,,
1416.98423123288,1.7726714829207,1416.98423123288,0,,
1413.54703847378,1.77416254525829,1413.54703847378,0,,
1410.10984571467,1.77564948926734,1410.10984571467,0,,
1406.67265295556,1.77713233115249,1406.67265295556,0,,
1403.23546019646,1.77861108711257,1403.23546019646,0,,
1399.79826743735,1.78008577334206,1399.79826743735,0,,
1396.36107467824,1.7815564060329,1396.36107467824,0,,
1392.92388191914,1.78302300137599,1392.92388191914,0,,
1389.48668916003,1.7844855755629,1389.48668916003,0,,
1386.04949640092,1.78594414478751,1386.04949640092,0,,
1382.61230364182,1.78739872524779,1382.61230364182,0,,
1379.17511088271,1.78884933314737,1379.17511088271,0,,
