NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.69481249987843,1698.83403747961,0,,
1695.39684472051,1.69559389074222,1695.39684472051,0,,
1691.9596519614,1.69637397823547,1691.9596519614,0,,
1688.52245920229,1.69715276838345,1688.52245920229,0,,
1685.08526644319,1.69793026724427,1685.08526644319,0,,
1681.64807368408,1.69870648090952,1681.64807368408,0,,
1678.21088092498,1.69948141550483,1678.21088092498,0,,
1674.77368816587,1.70025507719054,1674.77368816587,0,,
1671.33649540676,1.70102747216231,1671.33649540676,0,,
1667.89930264766,1.70179860665176,1667.89930264766,0,,
1664.46210988855,1.70256848692713,1664.46210988855,0,,
1661.02491712944,1.70333711929395,1661.02491712944,0,,
1657.58772437034,1.70410451009569,1657.58772437034,0,,
1654.15053161123,1.70487066571448,1654.15053161123,0,,
1650.71333885212,1.70563559257174,1650.71333885212,0,,
1647.27614609302,1.70639929712894,1647.27614609302,0,,
1643.83895333391,1.7071617858883,1643.83895333391,0,,
1640.4017605748,1.70792306539348,1640.4017605748,0,,
1636.9645678157,1.70868314223034,1636.9645678157,0,,
1633.52737505659,1.70944202302772,1633.52737505659,0,,
1630.09018229748,1.71019971445812,1630.09018229748,0,,
1626.65298953838,1.71095622323853,1626.65298953838,0,,
1623.21579677927,1.71171155613121,1623.21579677927,0,,
1619.77860402017,1.71246571994443,1619.77860402017,0,,
1616.34141126106,1.71321872153335,1616.34141126106,0,,
1612.90421850195,1.71397056780077,1612.90421850195,0,,
1609.46702574284,1.714721265698,1609.46702574284,0,,
1606.02983298374,1.71547082222572,1606.02983298374,0,,
1602.59264022463,1.71621924443479,1602.59264022463,0,,
1599.15544746553,1.71696653942715,1599.15544746553,0,,
1595.71825470642,1.71771271435672,1595.71825470642,0,,
1592.28106194731,1.71845777643027,1592.28106194731,0,,
1588.84386918821,1.71920173290834,1588.84386918821,0,,
1585.4066764291,1.7199445911062,1585.4066764291,0,,
1581.96948366999,1.72068635839476,1581.96948366999,0,,
1578.53229091089,1.72142704220155,1578.53229091089,0,,
1575.09509815178,1.72216665001169,1575.09509815178,0,,
1571.65790539267,1.72290518936889,1571.65790539267,0,,
1568.22071263357,1.72364266787644,1568.22071263357,0,,
1564.78351987446,1.72437909319826,1564.78351987446,0,,
1561.34632711535,1.72511447305993,1561.34632711535,0,,
1557.90913435625,1.72584881524976,1557.90913435625,0,,
1554.47194159714,1.72658212761984,1554.47194159714,0,,
1551.03474883804,1.7273144180872,1551.03474883804,0,,
1547.59755607893,1.72804569463485,1547.59755607893,0,,
1544.16036331982,1.72877596531297,1544.16036331982,0,,
1540.72317056072,1.72950523824005,1540.72317056072,0,,
1537.28597780161,1.73023352160405,1537.28597780161,0,,
1533.8487850425,1.7309608236636,1533.8487850425,0,,
1530.4115922834,1.73168715274925,1530.4115922834,0,,
1526.97439952429,1.73241251726466,1526.97439952429,0,,
1523.53720676518,1.73313692568787,1523.53720676518,0,,
1520.10001400608,1.73386038657261,1520.10001400608,0,,
1516.66282124697,1.73458290854958,1516.66282124697,0,,
1513.22562848786,1.73530450032776,1513.22562848786,0,,
1509.78843572876,1.7360251706958,1509.78843572876,0,,
1506.35124296965,1.73674492852338,1506.35124296965,0,,
1502.91405021054,1.73746378276259,1502.91405021054,0,,
1499.47685745144,1.73818174244937,1499.47685745144,0,,
1496.03966469233,1.73889881670498,1496.03966469233,0,,
1492.60247193323,1.73961501473743,1492.60247193323,0,,
1489.16527917412,1.74033034584303,1489.16527917412,0,,
1485.72808641501,1.74104481940791,1485.72808641501,0,,
1482.29089365591,1.74175844490954,1482.29089365591,0,,
1478.8537008968,1.74247123191839,1478.8537008968,0,,
1475.41650813769,1.74318319009948,1475.41650813769,0,,
1471.97931537859,1.74389432921407,1471.97931537859,0,,
1468.54212261948,1.74460465912134,1468.54212261948,0,,
1465.10492986037,1.74531418978006,1465.10492986037,0,,
1461.66773710127,1.74602293125037,1461.66773710127,0,,
1458.23054434216,1.74673089369557,1458.23054434216,0,,
1454.79335158305,1.74743808738386,1454.79335158305,0,,
1451.35615882395,1.74814452269027,1451.35615882395,0,,
1447.91896606484,1.74885021009847,1447.91896606484,0,,
1444.48177330573,1.74955516020273,1444.48177330573,0,,
1441.04458054663,1.75025938370987,1441.04458054663,0,,
1437.60738778752,1.7509628914412,1437.60738778752,0,,
1434.17019502842,1.75166569433461,1434.17019502842,0,,
1430.73300226931,1.75236780344662,1430.73300226931,0,,
1427.2958095102,1.75306922995448,1427.2958095102,0,,
1423.8586167511,1.75376998515831,1423.8586167511,0,,
1420.42142399199,1.75447008048332,1420.42142399199,0,,
1416.98423123288,1.75516952748205,1416.98423123288,0,,
1413.54703847378,1.75586833783661,1413.54703847378,0,,
1410.10984571467,1.75656652336106,1410.10984571467,0,,
1406.67265295556,1.75726409600373,1406.67265295556,0,,
1403.23546019646,1.7579610678497,1403.23546019646,0,,
1399.79826743735,1.75865745112322,1399.79826743735,0,,
1396.36107467824,1.75935325819027,1396.36107467824,0,,
1392.92388191914,1.76004850156109,1392.92388191914,0,,
1389.48668916003,1.76074319389286,1389.48668916003,0,,
1386.04949640092,1.76143734799233,1386.04949640092,0,,
1382.61230364182,1.76213097681858,1382.61230364182,0,,
1379.17511088271,1.76282409348582,1379.17511088271,0,,
1375.73791812361,1.76351671126622,1375.73791812361,0,,
1372.3007253645,1.76420884359281,1372.3007253645,0,,
1368.86353260539,1.76490050406249,1368.86353260539,0,,
1365.42633984629,1.76559170643903,1365.42633984629,0,,
1361.98914708718,1.76628246465621,1361.98914708718,0,,
