NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.72552257509299,1698.83403747961,0,,
1695.39684472051,1.72641805581188,1695.39684472051,0,,
1691.9596519614,1.72731194126068,1691.9596519614,0,,
1688.52245920229,1.72820423847876,1688.52245920229,0,,
1685.08526644319,1.72909495453779,1685.08526644319,0,,
1681.64807368408,1.72998409654235,1681.64807368408,0,,
1678.21088092498,1.73087167163069,1678.21088092498,0,,
1674.77368816587,1.73175768697537,1674.77368816587,0,,
1671.33649540676,1.73264214978404,1671.33649540676,0,,
1667.89930264766,1.73352506730011,1667.89930264766,0,,
1664.46210988855,1.7344064468035,1664.46210988855,0,,
1661.02491712944,1.73528629561141,1661.02491712944,0,,
1657.58772437034,1.73616462107905,1657.58772437034,0,,
1654.15053161123,1.7370414306004,1654.15053161123,0,,
1650.71333885212,1.73791673160902,1650.71333885212,0,,
1647.27614609302,1.7387905315788,1647.27614609302,0,,
1643.83895333391,1.7396628380248,1643.83895333391,0,,
1640.4017605748,1.74053365850403,1640.4017605748,0,,
1636.9645678157,1.74140300061631,1636.9645678157,0,,
1633.52737505659,1.74227087200506,1633.52737505659,0,,
1630.09018229748,1.7431372803582,1630.09018229748,0,,
1626.65298953838,1.74400223340899,1626.65298953838,0,,
1623.21579677927,1.74486573893689,1623.21579677927,0,,
1619.77860402017,1.7457278047685,1619.77860402017,0,,
1616.34141126106,1.74658843877839,1616.34141126106,0,,
1612.90421850195,1.74744764889011,1612.90421850195,0,,
1609.46702574284,1.74830544307703,1609.46702574284,0,,
1606.02983298374,1.74916182936335,1606.02983298374,0,,
1602.59264022463,1.75001681582504,1602.59264022463,0,,
1599.15544746553,1.75087041059081,1599.15544746553,0,,
1595.71825470642,1.75172262184314,1595.71825470642,0,,
1592.28106194731,1.75257345781921,1592.28106194731,0,,
1588.84386918821,1.75342292681203,1588.84386918821,0,,
1585.4066764291,1.75427103717139,1585.4066764291,0,,
1581.96948366999,1.75511779730496,1581.96948366999,0,,
1578.53229091089,1.75596321567939,1578.53229091089,0,,
1575.09509815178,1.75680730082135,1575.09509815178,0,,
1571.65790539267,1.75765006131866,1571.65790539267,0,,
1568.22071263357,1.75849150582145,1568.22071263357,0,,
1564.78351987446,1.75933164304328,1564.78351987446,0,,
1561.34632711535,1.76017048176231,1561.34632711535,0,,
1557.90913435625,1.76100803082248,1557.90913435625,0,,
1554.47194159714,1.76184429913477,1554.47194159714,0,,
1551.03474883804,1.76267929567834,1551.03474883804,0,,
1547.59755607893,1.76351302950188,1547.59755607893,0,,
1544.16036331982,1.76434550972478,1544.16036331982,0,,
1540.72317056072,1.7651767455385,1540.72317056072,0,,
1537.28597780161,1.76600674620787,1537.28597780161,0,,
1533.8487850425,1.7668355210724,1533.8487850425,0,,
1530.4115922834,1.76766307954764,1530.4115922834,0,,
1526.97439952429,1.76848943112663,1526.97439952429,0,,
1523.53720676518,1.76931458538122,1523.53720676518,0,,
1520.10001400608,1.77013855196358,1520.10001400608,0,,
1516.66282124697,1.7709613406076,1516.66282124697,0,,
1513.22562848786,1.77178296113043,1513.22562848786,0,,
1509.78843572876,1.77260342343396,1509.78843572876,0,,
1506.35124296965,1.77342273750637,1506.35124296965,0,,
1502.91405021054,1.77424091342369,1502.91405021054,0,,
1499.47685745144,1.77505796135141,1499.47685745144,0,,
1496.03966469233,1.77587389154611,1496.03966469233,0,,
1492.60247193323,1.77668871435708,1492.60247193323,0,,
1489.16527917412,1.77750244022807,1489.16527917412,0,,
1485.72808641501,1.77831507969894,1485.72808641501,0,,
1482.29089365591,1.77912664340745,1482.29089365591,0,,
1478.8537008968,1.77993714209104,1478.8537008968,0,,
1475.41650813769,1.78074658658861,1475.41650813769,0,,
1471.97931537859,1.78155498784244,1471.97931537859,0,,
1468.54212261948,1.78236235689999,1468.54212261948,0,,
1465.10492986037,1.7831687049159,1465.10492986037,0,,
1461.66773710127,1.78397404315388,1461.66773710127,0,,
1458.23054434216,1.78477838298874,1458.23054434216,0,,
1454.79335158305,1.78558173590844,1454.79335158305,0,,
1451.35615882395,1.78638411351612,1451.35615882395,0,,
1447.91896606484,1.78718552753222,1447.91896606484,0,,
1444.48177330573,1.78798598979668,1444.48177330573,0,,
1441.04458054663,1.78878551227109,1441.04458054663,0,,
1437.60738778752,1.78958410704092,1437.60738778752,0,,
1434.17019502842,1.79038178631784,1434.17019502842,0,,
1430.73300226931,1.79117856244205,1430.73300226931,0,,
1427.2958095102,1.79197444788462,1427.2958095102,0,,
1423.8586167511,1.79276945524991,1423.8586167511,0,,
1420.42142399199,1.79356359727811,1420.42142399199,0,,
1416.98423123288,1.79435688684767,1416.98423123288,0,,
1413.54703847378,1.79514933697793,1413.54703847378,0,,
1410.10984571467,1.79594096083175,1410.10984571467,0,,
1406.67265295556,1.79673177171812,1406.67265295556,0,,
1403.23546019646,1.79752178309498,1403.23546019646,0,,
1399.79826743735,1.79831100857194,1399.79826743735,0,,
1396.36107467824,1.79909946191319,1396.36107467824,0,,
1392.92388191914,1.79988715704034,1392.92388191914,0,,
1389.48668916003,1.80067410803543,1389.48668916003,0,,
1386.04949640092,1.80146032914396,1386.04949640092,0,,
1382.61230364182,1.80224583477795,1382.61230364182,0,,
1379.17511088271,1.80303063951913,1379.17511088271,0,,
1375.73791812361,1.80381475812216,1375.73791812361,0,,
1372.3007253645,1.80459820551792,1372.3007253645,0,,
1368.86353260539,1.80538099681686,1368.86353260539,0,,
1365.42633984629,1.80616314731246,1365.42633984629,0,,
1361.98914708718,1.80694467248475,1361.98914708718,0,,
1358.55195432807,1.80772558800386,1358.55195432807,0,,
1355.11476156897,1.80850590973372,1355.11476156897,0,,
1351.67756880986,1.8092856537358,1351.67756880986,0,,
1348.24037605075,1.81006483627292,1348.24037605075,0,,
1344.80318329165,1.8108434738132,1344.80318329165,0,,
1341.36599053254,1.81162158303404,1341.36599053254,0,,
1337.92879777343,1.8123991808262,1337.92879777343,0,,
1334.49160501433,1.81317628429801,1334.49160501433,0,,
1331.05441225522,1.81395291077962,1331.05441225522,0,,
1327.61721949611,1.81472907782739,1327.61721949611,0,,
1324.18002673701,1.81550480322837,1324.18002673701,0,,
1320.7428339779,1.81628010500486,1320.7428339779,0,,
1317.3056412188,1.81705500141908,1317.3056412188,0,,
1313.86844845969,1.81782951097799,1313.86844845969,0,,
1310.43125570058,1.81860365243818,1310.43125570058,0,,
1306.99406294148,1.81937744481087,1306.99406294148,0,,
1303.55687018237,1.82015090736705,1303.55687018237,0,,
1300.11967742326,1.82092405964273,1300.11967742326,0,,
1296.68248466416,1.82169692144431,1296.68248466416,0,,
1293.24529190505,1.82246951285412,1293.24529190505,0,,
1289.80809914594,1.82324185423599,1289.80809914594,0,,
1286.37090638684,1.82401396624108,1286.37090638684,0,,
1282.93371362773,1.82478586981375,1282.93371362773,0,,
1279.49652086862,1.82555758619766,1279.49652086862,0,,
1276.05932810952,1.8263291369419,1276.05932810952,0,,
1272.62213535041,1.82710054390741,1272.62213535041,0,,
1269.1849425913,1.82787182927343,1269.1849425913,0,,
1265.7477498322,1.82864301554422,1265.7477498322,0,,
