NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.61510296693002,1698.83403747961,0,,
1695.39684472051,1.61710410842258,1695.39684472051,0,,
1691.9596519614,1.61909912165831,1691.9596519614,0,,
1688.52245920229,1.62108803175387,1688.52245920229,0,,
1685.08526644319,1.62307086366027,1685.08526644319,0,,
1681.64807368408,1.62504764216522,1681.64807368408,0,,
1678.21088092498,1.62701839189527,1678.21088092498,0,,
1674.77368816587,1.62898313731829,1674.77368816587,0,,
1671.33649540676,1.63094190274543,1671.33649540676,0,,
1667.89930264766,1.63289471233353,1667.89930264766,0,,
1664.46210988855,1.63484159008708,1664.46210988855,0,,
1661.02491712944,1.63678255986064,1661.02491712944,0,,
1657.58772437034,1.63871764536068,1657.58772437034,0,,
1654.15053161123,1.64064687014793,1654.15053161123,0,,
1650.71333885212,1.6425702576393,1650.71333885212,0,,
1647.27614609302,1.6444878311101,1647.27614609302,0,,
1643.83895333391,1.64639961369592,1643.83895333391,0,,
1640.4017605748,1.64830562839481,1640.4017605748,0,,
1636.9645678157,1.65020589806925,1636.9645678157,0,,
1633.52737505659,1.6521004454481,1633.52737505659,0,,
1630.09018229748,1.65398929312861,1630.09018229748,0,,
1626.65298953838,1.65587246357841,1626.65298953838,0,,
1623.21579677927,1.65774997913744,1623.21579677927,0,,
1619.77860402017,1.6596218620198,1619.77860402017,0,,
1616.34141126106,1.66148813431581,1616.34141126106,0,,
1612.90421850195,1.66334881799381,1612.90421850195,0,,
1609.46702574284,1.66520393490201,1609.46702574284,0,,
1606.02983298374,1.66705350677053,1606.02983298374,0,,
1602.59264022463,1.66889755521301,1602.59264022463,0,,
1599.15544746553,1.6707361017287,1599.15544746553,0,,
1595.71825470642,1.67256916770412,1595.71825470642,0,,
1592.28106194731,1.67439677441493,1592.28106194731,0,,
1588.84386918821,1.67621894302777,1588.84386918821,0,,
1585.4066764291,1.67803569460198,1585.4066764291,0,,
1581.96948366999,1.67984705009145,1581.96948366999,0,,
1578.53229091089,1.68165303034641,1578.53229091089,0,,
1575.09509815178,1.68345365611508,1575.09509815178,0,,
1571.65790539267,1.68524894804551,1571.65790539267,0,,
1568.22071263357,1.68703892668735,1568.22071263357,0,,
1564.78351987446,1.68882361249348,1564.78351987446,0,,
1561.34632711535,1.6906030258218,1561.34632711535,0,,
1557.90913435625,1.69237718693696,1557.90913435625,0,,
1554.47194159714,1.69414611601205,1554.47194159714,0,,
1551.03474883804,1.69590983313027,1551.03474883804,0,,
1547.59755607893,1.69766835828662,1547.59755607893,0,,
1544.16036331982,1.69942171138966,1544.16036331982,0,,
1540.72317056072,1.70116991226314,1540.72317056072,0,,
1537.28597780161,1.70291298064766,1537.28597780161,0,,
1533.8487850425,1.70465093620234,1533.8487850425,0,,
1530.4115922834,1.70638379850652,1530.4115922834,0,,
1526.97439952429,1.70811158706137,1526.97439952429,0,,
1523.53720676518,1.70983432129161,1523.53720676518,0,,
1520.10001400608,1.71155202054704,1520.10001400608,0,,
1516.66282124697,1.71326470410436,1516.66282124697,0,,
1513.22562848786,1.71497239116859,1513.22562848786,0,,
1509.78843572876,1.71667510087498,1509.78843572876,0,,
1506.35124296965,1.71837285229032,1506.35124296965,0,,
1502.91405021054,1.72006566441494,1502.91405021054,0,,
1499.47685745144,1.72175355618401,1499.47685745144,0,,
1496.03966469233,1.72343654646938,1496.03966469233,0,,
1492.60247193323,1.72511465408114,1492.60247193323,0,,
1489.16527917412,1.72678789776924,1489.16527917412,0,,
1485.72808641501,1.72845629622516,1485.72808641501,0,,
1482.29089365591,1.73011986808347,1482.29089365591,0,,
1478.8537008968,1.73177863192356,1478.8537008968,0,,
1475.41650813769,1.73343260627115,1475.41650813769,0,,
1471.97931537859,1.73508180960008,1471.97931537859,0,,
1468.54212261948,1.73672626033373,1468.54212261948,0,,
1465.10492986037,1.73836597684691,1465.10492986037,0,,
1461.66773710127,1.74000097746724,1461.66773710127,0,,
1458.23054434216,1.74163128047703,1458.23054434216,0,,
1454.79335158305,1.74325690411476,1454.79335158305,0,,
1451.35615882395,1.74487786657678,1451.35615882395,0,,
1447.91896606484,1.74649418601901,1447.91896606484,0,,
1444.48177330573,1.74810588055854,1444.48177330573,0,,
1441.04458054663,1.74971296827531,1441.04458054663,0,,
1437.60738778752,1.75131546721374,1437.60738778752,0,,
1434.17019502842,1.75291339538457,1434.17019502842,0,,
1430.73300226931,1.75450677076632,1430.73300226931,0,,
1427.2958095102,1.75609561130711,1427.2958095102,0,,
1423.8586167511,1.75767993492635,1423.8586167511,0,,
1420.42142399199,1.75925975951639,1420.42142399199,0,,
1416.98423123288,1.76083510294433,1416.98423123288,0,,
1413.54703847378,1.76240598305362,1413.54703847378,0,,
1410.10984571467,1.7639724176659,1410.10984571467,0,,
1406.67265295556,1.76553442458269,1406.67265295556,0,,
1403.23546019646,1.76709202158716,1403.23546019646,0,,
1399.79826743735,1.76864522644584,1399.79826743735,0,,
1396.36107467824,1.7701940569105,1396.36107467824,0,,
1392.92388191914,1.77173853071987,1392.92388191914,0,,
1389.48668916003,1.7732786656014,1389.48668916003,0,,
1386.04949640092,1.7748144792732,1386.04949640092,0,,
1382.61230364182,1.77634598944575,1382.61230364182,0,,
1379.17511088271,1.77787321382377,1379.17511088271,0,,
1375.73791812361,1.77939617010811,1375.73791812361,0,,
1372.3007253645,1.78091487599763,1372.3007253645,0,,
1368.86353260539,1.78242934919102,1368.86353260539,0,,
1365.42633984629,1.78393960738875,1365.42633984629,0,,
1361.98914708718,1.78544566829499,1361.98914708718,0,,
1358.55195432807,1.78694754961957,1358.55195432807,0,,
1355.11476156897,1.78844526907989,1355.11476156897,0,,
1351.67756880986,1.78993884440292,1351.67756880986,0,,
1348.24037605075,1.79142829332723,1348.24037605075,0,,
1344.80318329165,1.792913633605,1344.80318329165,0,,
1341.36599053254,1.79439488300398,1341.36599053254,0,,
1337.92879777343,1.79587205930964,1337.92879777343,0,,
1334.49160501433,1.79734518032724,1334.49160501433,0,,
1331.05441225522,1.79881426388395,1331.05441225522,0,,
1327.61721949611,1.8002793278309,1327.61721949611,0,,
1324.18002673701,1.80174039004542,1324.18002673701,0,,
1320.7428339779,1.80319746843326,1320.7428339779,0,,
1317.3056412188,1.80465058093066,1317.3056412188,0,,
1313.86844845969,1.80609974550673,1313.86844845969,0,,
1310.43125570058,1.80754498016561,1310.43125570058,0,,
1306.99406294148,1.80898630294885,1306.99406294148,0,,
1303.55687018237,1.8104237319377,1303.55687018237,0,,
1300.11967742326,1.81185728525543,1300.11967742326,0,,
1296.68248466416,1.81328698106977,1296.68248466416,0,,
1293.24529190505,1.81471283759535,1293.24529190505,0,,
1289.80809914594,1.8161348730961,1289.80809914594,0,,
1286.37090638684,1.81755310588773,1286.37090638684,0,,
1282.93371362773,1.81896755434036,1282.93371362773,0,,
1279.49652086862,1.82037823688096,1279.49652086862,0,,
1276.05932810952,1.82178517199603,1276.05932810952,0,,
1272.62213535041,1.8231883782342,1272.62213535041,0,,
1269.1849425913,1.82458787420895,1269.1849425913,0,,
1265.7477498322,1.82598367860133,1265.7477498322,0,,
1262.31055707309,1.82737581016267,1262.31055707309,0,,
1258.87336431398,1.82876428771745,1258.87336431398,0,,
1255.43617155488,1.83014913016612,1255.43617155488,0,,
1251.99897879577,1.83153035648805,1251.99897879577,0,,
1248.56178603667,1.83290798574443,1248.56178603667,0,,
1245.12459327756,1.83428203708124,1245.12459327756,0,,
1241.68740051845,1.83565252973242,1241.68740051845,0,,
1238.25020775934,1.83701948302284,1238.25020775934,0,,
1234.81301500024,1.83838291637155,1234.81301500024,0,,
1231.37582224113,1.83974284929492,1231.37582224113,0,,
1227.93862948203,1.84109930140995,1227.93862948203,0,,
1224.50143672292,1.84245229243758,1224.50143672292,0,,
1221.06424396381,1.84380184220607,1221.06424396381,0,,
1217.62705120471,1.84514797065445,1217.62705120471,0,,
1214.1898584456,1.84649069783607,1214.1898584456,0,,
1210.7526656865,1.84783004392205,1210.7526656865,0,,
1207.31547292739,1.8491660292051,1207.31547292739,0,,
1203.87828016829,1.85049867410306,1203.87828016829,0,,
1200.44108740917,1.85182799916283,1200.44108740917,0,,
1197.00389465007,1.85315402506408,1197.00389465007,0,,
1193.56670189096,1.85447677262326,1193.56670189096,0,,
1190.12950913185,1.85579626279764,1190.12950913185,0,,
1186.69231637274,1.8571125166893,1186.69231637274,0,,
1183.25512361365,1.85842555554933,1183.25512361365,0,,
1179.81793085453,1.85973540078211,1179.81793085453,0,,
1176.38073809543,1.86104207394963,1176.38073809543,0,,
1172.94354533633,1.86234559677588,1172.94354533633,0,,
1169.50635257721,1.86364599115141,1169.50635257721,0,,
1166.06915981811,1.86494327913789,1166.06915981811,0,,
1162.631967059,1.86623748297286,1162.631967059,0,,
1159.1947742999,1.86752862507446,1159.1947742999,0,,
1155.75758154079,1.86881672804647,1155.75758154079,0,,
1152.32038878169,1.87010181468317,1152.32038878169,0,,
1148.88319602258,1.8713839079745,1148.88319602258,0,,
1145.44600326347,1.87266303111133,1145.44600326347,0,,
1142.00881050436,1.87393920749079,1142.00881050436,0,,
1138.57161774526,1.87521246072172,1138.57161774526,0,,
1135.13442498616,1.87648281463014,1135.13442498616,0,,
1131.69723222704,1.87775029326519,1131.69723222704,0,,
1128.26003946794,1.87901492090472,1128.26003946794,0,,
1124.82284670883,1.88027672206144,1124.82284670883,0,,
1121.38565394973,1.88153572148885,1121.38565394973,0,,
1117.94846119062,1.8827919441876,1117.94846119062,0,,
1114.51126843151,1.88404541541186,1114.51126843151,0,,
1111.07407567241,1.88529616067575,1111.07407567241,0,,
1107.6368829133,1.88654420576016,1107.6368829133,0,,
1104.19969015419,1.88778957671947,1104.19969015419,0,,
1100.76249739508,1.88903229988863,1100.76249739508,0,,
1097.32530463598,1.89027240189027,1097.32530463598,0,,
1093.88811187688,1.89150990964206,1093.88811187688,0,,
1090.45091911777,1.89274485036426,1090.45091911777,0,,
1087.01372635866,1.89397725158733,1087.01372635866,0,,
1083.57653359955,1.8952071411599,1083.57653359955,0,,
1080.13934084045,1.89643454725675,1080.13934084045,0,,
1076.70214808134,1.89765949838723,1076.70214808134,0,,
1073.26495532224,1.89888202340356,1073.26495532224,0,,
1069.82776256312,1.9001021515097,1069.82776256312,0,,
1066.39056980403,1.9013199122701,1066.39056980403,0,,
1062.95337704492,1.90253533561897,1062.95337704492,0,,
1059.51618428581,1.90374845186954,1059.51618428581,0,,
1056.07899152671,1.90495929172373,1056.07899152671,0,,
1052.6417987676,1.90616788628201,1052.6417987676,0,,
1049.20460600849,1.90737426705344,1049.20460600849,0,,
1045.76741324938,1.90857846596611,1045.76741324938,0,,
1042.33022049028,1.90978051537777,1042.33022049028,0,,
1038.89302773117,1.91098044808669,1038.89302773117,0,,
1035.45583497207,1.91217829734297,1035.45583497207,0,,
1032.01864221296,1.91337409685995,1032.01864221296,0,,
1028.58144945385,1.91456788082608,1028.58144945385,0,,
1025.14425669474,1.91575968391712,1025.14425669474,0,,
1021.70706393564,1.91694954130839,1021.70706393564,0,,
1018.26987117653,1.91813748868783,1018.26987117653,0,,
1014.83267841742,1.91932356226897,1014.83267841742,0,,
1011.39548565831,1.92050779880452,1011.39548565831,0,,
1007.95829289922,1.92169023560023,1007.95829289922,0,,
1004.5211001401,1.92287091052921,1004.5211001401,0,,
1001.083907381,1.92404986204655,1001.083907381,0,,
997.646714621893,1.92522712920442,997.646714621893,0,,
994.209521862783,1.92640275166756,994.209521862783,0,,
990.772329103681,1.92757676972936,990.772329103681,0,,
989.267676490204,1.92809020902422,989.267676490204,0,,
988.484573030973,1.92835731350273,988.484573030973,0,,
987.701469571744,1.92862433825633,987.701469571744,0,,
986.918366112506,1.92889128377919,986.918366112506,0,,
986.13526265328,1.92915815056727,986.13526265328,0,,
985.352159194047,1.92942493911843,985.352159194047,0,,
984.56905573482,1.92969164993234,984.56905573482,0,,
983.785952275586,1.92995828351056,983.785952275586,0,,
983.002848816354,1.93022484035647,983.002848816354,0,,
982.219745357125,1.93049132097536,982.219745357125,0,,
981.436641897897,1.9307577258744,981.436641897897,0,,
980.653538438667,1.9310240555627,980.653538438667,0,,
979.870434979433,1.9312903105512,979.870434979433,0,,
979.087331520206,1.93155649135285,979.087331520206,0,,
978.304228060974,1.9318225984825,978.304228060974,0,,
977.521124601747,1.93208863245694,977.521124601747,0,,
976.738021142518,1.93235459379494,976.738021142518,0,,
975.954917683283,1.93262048301723,975.954917683283,0,,
975.17181422405,1.93288630064652,975.17181422405,0,,
974.388710764821,1.9331520472075,974.388710764821,0,,
973.605607305592,1.93341772322694,973.605607305592,0,,
972.822503846362,1.93368332923351,972.822503846362,0,,
972.039400387127,1.93394886575802,972.039400387127,0,,
971.256296927898,1.93421433333325,971.256296927898,0,,
970.473193468672,1.93447973249409,970.473193468672,0,,
969.690090009438,1.93474506377746,969.690090009438,0,,
968.906986550207,1.93501032772236,968.906986550207,0,,
968.123883090978,1.93527552486992,968.123883090978,0,,
967.340779631751,1.93554065576334,967.340779631751,0,,
966.557676172521,1.93580572094792,966.557676172521,0,,
965.77457271329,1.93607072097117,965.77457271329,0,,
964.991469254057,1.93633565638266,964.991469254057,0,,
964.208365794827,1.93660052773415,964.208365794827,0,,
963.425262335594,1.93686533557956,963.425262335594,0,,
962.642158876364,1.93713008047505,962.642158876364,0,,
