NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
1698.83403747961,1.12319963271328,1698.83403747961,0.0168425992204976,,
1695.39684472051,1.12324167375925,1695.39684472051,0.0168793234521787,,
1691.9596519614,1.12328397613844,1691.9596519614,0.0169162133406608,,
1688.52245920229,1.12332654203133,1688.52245920229,0.0169532700392161,,
1685.08526644319,1.12336937364133,1685.08526644319,0.0169904947120671,,
1681.64807368408,1.12341247319501,1681.64807368408,0.017027888534512,,
1678.21088092498,1.12345584294241,1678.21088092498,0.0170654526930778,,
1674.77368816587,1.12349948515738,1674.77368816587,0.0171031883856399,,
1671.33649540676,1.12354340213781,1671.33649540676,0.0171410968215707,,
1667.89930264766,1.123587596206,1667.89930264766,0.0171791792218729,,
1664.46210988855,1.12363206970897,1664.46210988855,0.0172174368193286,,
1661.02491712944,1.12367682501871,1661.02491712944,0.0172558708586339,,
1657.58772437034,1.1237218645326,1657.58772437034,0.0172944825965607,,
1654.15053161123,1.12376719067364,1654.15053161123,0.0173332733020888,,
1650.71333885212,1.12381280589088,1650.71333885212,0.0173722442565678,,
1647.27614609302,1.12385871265967,1647.27614609302,0.0174113967538712,,
1643.83895333391,1.12390491348204,1643.83895333391,0.0174507321005395,,
1640.4017605748,1.12395141088707,1640.4017605748,0.0174902516159555,,
1636.9645678157,1.1239982074312,1636.9645678157,0.0175299566324936,,
1633.52737505659,1.1240453056986,1633.52737505659,0.0175698484956846,,
1630.09018229748,1.12409270830157,1630.09018229748,0.0176099285643761,,
1626.65298953838,1.12414041788085,1626.65298953838,0.0176501982109191,,
1623.21579677927,1.12418843710604,1623.21579677927,0.0176906588213171,,
1619.77860402017,1.12423676867596,1619.77860402017,0.017731311795404,,
1616.34141126106,1.12428541531905,1616.34141126106,0.01777215854703,,
1612.90421850195,1.12433437979373,1612.90421850195,0.0178132005042277,,
1609.46702574284,1.12438366488885,1609.46702574284,0.0178544391094043,,
1606.02983298374,1.12443327342407,1606.02983298374,0.0178958758195187,,
1602.59264022463,1.12448320825024,1602.59264022463,0.017937512106267,,
1599.15544746553,1.12453347224988,1599.15544746553,0.0179793494562751,,
1595.71825470642,1.12458406833754,1595.71825470642,0.0180213893712938,,
1592.28106194731,1.1246349994603,1592.28106194731,0.0180636333683909,,
1588.84386918821,1.12468626859813,1588.84386918821,0.0181060829801481,,
1585.4066764291,1.12473787876441,1585.4066764291,0.0181487397548738,,
1581.96948366999,1.12478983300633,1581.96948366999,0.0181916052567961,,
1578.53229091089,1.12484213440535,1578.53229091089,0.0182346810662736,,
1575.09509815178,1.12489478607772,1575.09509815178,0.0182779687800143,,
1571.65790539267,1.12494779117489,1571.65790539267,0.0183214700112811,,
1568.22071263357,1.12500115288401,1568.22071263357,0.0183651863901174,,
1564.78351987446,1.12505487442845,1564.78351987446,0.0184091195635711,,
1561.34632711535,1.12510895906825,1561.34632711535,0.0184532711959082,,
1557.90913435625,1.12516341010067,1557.90913435625,0.0184976429688518,,
1554.47194159714,1.12521823086067,1554.47194159714,0.0185422365818216,,
1551.03474883804,1.12527342472143,1551.03474883804,0.0185870537521544,,
1547.59755607893,1.12532899509491,1547.59755607893,0.018632096215351,,
1544.16036331982,1.12538494543236,1544.16036331982,0.0186773657253341,,
1540.72317056072,1.1254412792249,1540.72317056072,0.0187228640546666,,
1537.28597780161,1.12549800000402,1537.28597780161,0.0187685929948452,,
1533.8487850425,1.12555511134221,1533.8487850425,0.0188145543565193,,
1530.4115922834,1.12561261685349,1530.4115922834,0.0188607499697728,,
1526.97439952429,1.125670520194,1526.97439952429,0.0189071816843869,,
1523.53720676518,1.12572882506262,1523.53720676518,0.0189538513701056,,
1520.10001400608,1.12578753520154,1520.10001400608,0.0190007609169125,,
1516.66282124697,1.12584665439692,1516.66282124697,0.0190479122353061,,
1513.22562848786,1.12590618647944,1513.22562848786,0.0190953072565951,,
1509.78843572876,1.12596613532501,1509.78843572876,0.0191429479331681,,
1506.35124296965,1.12602650485537,1506.35124296965,0.0191908362388035,,
1502.91405021054,1.12608729903877,1502.91405021054,0.019238974168959,,
1499.47685745144,1.12614852189061,1499.47685745144,0.0192873637410772,,
1496.03966469233,1.12621017747413,1496.03966469233,0.0193360069948944,,
1492.60247193323,1.12627226990114,1492.60247193323,0.0193849059927474,,
1489.16527917412,1.12633480333263,1489.16527917412,0.0194340628199079,,
1485.72808641501,1.12639778197957,1485.72808641501,0.0194834795848924,,
1482.29089365591,1.12646121010361,1482.29089365591,0.0195331584197964,,
1478.8537008968,1.12652509201779,1478.8537008968,0.0195831014806341,,
1475.41650813769,1.1265894320873,1475.41650813769,0.019633310947677,,
1471.97931537859,1.12665423473029,1471.97931537859,0.019683789025797,,
1468.54212261948,1.12671950441858,1468.54212261948,0.0197345379448253,,
1465.10492986037,1.12678524567848,1465.10492986037,0.0197855599599171,,
1461.66773710127,1.12685146309161,1461.66773710127,0.0198368573519037,,
